"Case Number","Description","Date, Time","Weekday","Time","Crime Type","Police Beat","Zip Code","Address","Latitude","Longitude","Accuracy","URL"
13-016886,"BURGLARY-FORCIBLE ENTRY","2013-04-04 07:30:00",Thursday,"07:30",BURGLARY,32X,,"1700 block of 102nd Avenue, Oakland 94603",37.742419,-122.163897,Street,"http://oakland.crimespotting.org/crime/2013-04-04/Burglary/276836"
13-016833,"FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","2013-04-04 06:30:00",Thursday,"06:30","AGGRAVATED ASSAULT",21X,,"1920 25th Avenue, Oakland 94601",37.785225,-122.229139,Address,"http://oakland.crimespotting.org/crime/2013-04-04/Aggravated_Assault/276835"
13-016823,"FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","2013-04-04 02:30:00",Thursday,"02:30","AGGRAVATED ASSAULT",30Y,,"7900 block of MacArthur Boulevard, Oakland 94605",37.764647,-122.166568,Street,"http://oakland.crimespotting.org/crime/2013-04-04/Aggravated_Assault/276834"
13-016823,"INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT","2013-04-04 02:30:00",Thursday,"02:30","AGGRAVATED ASSAULT",30Y,,"7900 block of MacArthur Boulevard, Oakland 94605",37.764647,-122.166568,Street,"http://oakland.crimespotting.org/crime/2013-04-04/Aggravated_Assault/276833"
13-016836,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","2013-04-04 01:45:00",Thursday,"01:45",ROBBERY,27Y,,"1900 block of Seminary Avenue, Oakland 94621",37.767728,-122.195804,Street,"http://oakland.crimespotting.org/crime/2013-04-04/Robbery/276832"
13-016814,"VANDALISM:DAMAGE PROPERTY","2013-04-04 01:10:00",Thursday,"01:10",VANDALISM,10X,,"6100 block of Market Street, Oakland 94608",37.846019,-122.276455,Street,"http://oakland.crimespotting.org/crime/2013-04-04/Vandalism/276831"
13-016819,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-04-04 00:50:00",Thursday,"00:50","SIMPLE ASSAULT",10Y,,"800 block of 56th Street, Oakland 94608",37.840445,-122.271942,Street,"http://oakland.crimespotting.org/crime/2013-04-04/Simple_Assault/276830"
13-016548,"DISTURB THE PEACE","2013-04-03 12:00:00",Wednesday,"12:00","DISTURBING THE PEACE",09X,,"5000 block of Broadway, Rockridge Shopping Center, Oakland 94611",37.834446,-122.251788,Street,"http://oakland.crimespotting.org/crime/2013-04-03/Disturbing_The_Peace/276829"
13-016626,"POSSESS NARCOTIC CONTROLLED SUBSTANCE","2013-04-03 02:42:00",Wednesday,"02:42",NARCOTICS,26Y,,"7800 block of International Boulevard, Oakland 94621",37.757167,-122.182733,Street,"http://oakland.crimespotting.org/crime/2013-04-03/Narcotics/276828"
13-016616,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-04-03 00:22:00",Wednesday,"00:22","SIMPLE ASSAULT",17X,,"East 18th Street & 13th Avenue, Oakland, CA 94606, USA",37.792518,-122.243488,Intersection,"http://oakland.crimespotting.org/crime/2013-04-03/Simple_Assault/276827"
13-016618,"DISTURB THE PEACE","2013-04-03 00:15:00",Wednesday,"00:15","DISTURBING THE PEACE",08X,,"500 block of 24th Street, Oakland 94612",37.813834,-122.26988,Street,"http://oakland.crimespotting.org/crime/2013-04-03/Disturbing_The_Peace/276826"
13-016617,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","2013-04-03 00:05:00",Wednesday,"00:05",ROBBERY,26Y,,"1200 block of 54th Avenue, Oakland 94601",37.766297,-122.206833,Street,"http://oakland.crimespotting.org/crime/2013-04-03/Robbery/276825"
13-016549,BATTERY,"2013-04-02 15:37:00",Tuesday,"15:37","SIMPLE ASSAULT",02Y,,"8th Street & Campbell Street, Oakland, CA 94607, USA",37.807376,-122.298906,Intersection,"http://oakland.crimespotting.org/crime/2013-04-02/Simple_Assault/276824"
13-016533,BATTERY,"2013-04-02 14:13:00",Tuesday,"14:13","SIMPLE ASSAULT",02Y,,"1800 block of 14th Street, Oakland 94607",37.813381,-122.297906,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Simple_Assault/276823"
13-016530,"FIGHT/CHALLENGE IN PUBLIC PLACE","2013-04-02 14:00:00",Tuesday,"14:00","DISTURBING THE PEACE",02Y,,"1600 block of 8th Street, Oakland 94607",37.807405,-122.298969,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Disturbing_The_Peace/276822"
13-016509,"DISTURB THE PEACE BY LOUD/UNREASONABLE NOISE","2013-04-02 12:17:00",Tuesday,"12:17","DISTURBING THE PEACE",32X,,"1100 block of 107th Avenue, Oakland 94603",37.736105,-122.169986,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Disturbing_The_Peace/276821"
13-016520,THEFT,"2013-04-02 12:00:00",Tuesday,"12:00",THEFT,06X,,"700 block of 34th Street, Oakland 94609",37.824067,-122.27206,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Theft/276820"
13-016483,"VEHICLE THEFT - AUTO","2013-04-02 10:50:00",Tuesday,"10:50","VEHICLE THEFT",01X,,"400 block of Embarcadero West, Oakland 94607",37.795457,-122.276812,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Vehicle_Theft/276819"
13-016480,VANDALISM,"2013-04-02 10:30:00",Tuesday,"10:30",VANDALISM,18X,,"2000 block of 20th Avenue, Oakland 94606",37.79055,-122.235472,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Vandalism/276818"
13-016466,"VEHICLE THEFT - AUTO","2013-04-02 09:32:00",Tuesday,"09:32","VEHICLE THEFT",32X,,"1200 block of 101st Avenue, Oakland 94603",37.740436,-122.171649,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Vehicle_Theft/276817"
13-016460,"POSSESS NARCOTIC CONTROLLED SUBSTANCE","2013-04-02 09:08:00",Tuesday,"09:08",NARCOTICS,07X,,"3100 block of Filbert Street, Oakland 94608",37.822554,-122.277985,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Narcotics/276816"
13-016460,"POSSESS HYPODERMIC NEEDLE/SYRINGE","2013-04-02 09:08:00",Tuesday,"09:08",NARCOTICS,07X,,"3100 block of Filbert Street, Oakland 94608",37.822554,-122.277985,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Narcotics/276815"
13-016446,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-04-02 08:05:00",Tuesday,"08:05","SIMPLE ASSAULT",19X,,"1400 block of 6th Avenue, Oakland 94606",37.795578,-122.252201,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Simple_Assault/276813"
13-016437,"VANDALISM:DEFACE PROPERTY","2013-04-02 05:03:00",Tuesday,"05:03",VANDALISM,02Y,,"1600 block of 7th Street, Oakland 94607",37.806404,-122.299297,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Vandalism/276812"
13-016482,"GRAND THEFT","2013-04-02 03:18:00",Tuesday,"03:18",THEFT,25X,,"4200 block of Tompkins Avenue, Oakland 94619",37.790748,-122.188043,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Theft/276811"
13-016431,ROBBERY-FIREARM,"2013-04-02 03:17:00",Tuesday,"03:17",ROBBERY,33X,,"9700 block of D Street, Oakland 94603",37.74217,-122.175831,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Robbery/276810"
13-016423,"SHOOT:INHAB DWELL/VEH/ETC","2013-04-02 02:04:00",Tuesday,"02:04","AGGRAVATED ASSAULT",35X,,"9000 block of Hillside Street, Oakland 94603",37.75398,-122.162781,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Aggravated_Assault/276809"
13-016422,"VEHICLE THEFT - AUTO","2013-04-02 02:00:00",Tuesday,"02:00","VEHICLE THEFT",32Y,,"9800 block of Stanley Avenue, Oakland 94605",37.750692,-122.152178,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Vehicle_Theft/276808"
13-016443,"VEHICLE THEFT - AUTO","2013-04-02 02:00:00",Tuesday,"02:00","VEHICLE THEFT",26Y,,"1200 block of 78th Avenue, Oakland 94621",37.756046,-122.185419,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Vehicle_Theft/276807"
13-016471,"DISTURB THE PEACE","2013-04-02 02:00:00",Tuesday,"02:00","DISTURBING THE PEACE",,,"1200 block of 55th Avenue, Oakland 94601",37.767088,-122.203702,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Disturbing_The_Peace/276806"
13-016421,BATTERY,"2013-04-02 01:30:00",Tuesday,"01:30","SIMPLE ASSAULT",18X,,"1900 block of 21st Avenue, Oakland 94606",37.789098,-122.234951,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Simple_Assault/276805"
13-016420,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-04-02 01:10:00",Tuesday,"01:10","SIMPLE ASSAULT",25X,,"MacArthur Boulevard, Oakland, CA, USA",37.777862,-122.188107,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Simple_Assault/276804"
13-016417,"INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT","2013-04-02 00:30:00",Tuesday,"00:30","AGGRAVATED ASSAULT",27X,,"2200 block of 50th Avenue, Oakland 94601",37.776074,-122.203835,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Aggravated_Assault/276803"
13-016413,"ATTEMPTED ROBBERY-FIREARM","2013-04-02 00:13:00",Tuesday,"00:13",ROBBERY,14Y,,"500 block of Mandana Boulevard, Oakland 94610",37.812257,-122.242895,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Robbery/276802"
13-016412,THEFT,"2013-04-02 00:04:00",Tuesday,"00:04",THEFT,05X,,"1100 block of 21st Street, Oakland 94607",37.814439,-122.284414,Street,"http://oakland.crimespotting.org/crime/2013-04-02/Theft/276801"
13-016322,"FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","2013-04-01 13:04:00",Monday,"13:04","AGGRAVATED ASSAULT",30X,,"6680 International Boulevard, Oakland 94621",37.761799,-122.191903,Address,"http://oakland.crimespotting.org/crime/2013-04-01/Aggravated_Assault/276800"
13-016321,BATTERY,"2013-04-01 13:03:00",Monday,"13:03","SIMPLE ASSAULT",30X,,"6600 block of International Boulevard, Oakland 94621",37.761981,-122.192849,Street,"http://oakland.crimespotting.org/crime/2013-04-01/Simple_Assault/276799"
13-016300,"VEHICLE THEFT - AUTO","2013-04-01 12:10:00",Monday,"12:10","VEHICLE THEFT",04X,,"600 block of East 22nd Street, Oakland 94606",37.799792,-122.245,Street,"http://oakland.crimespotting.org/crime/2013-04-01/Vehicle_Theft/276798"
13-016304,"CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE","2013-04-01 11:20:00",Monday,"11:20","SIMPLE ASSAULT",14X,,"300 block of Adams Street, Oakland 94610",37.814595,-122.255135,Street,"http://oakland.crimespotting.org/crime/2013-04-01/Simple_Assault/276797"
13-016292,VANDALISM,"2013-04-01 10:30:00",Monday,"10:30",VANDALISM,20X,,"1700 block of 28th Avenue, Oakland 94601",37.783109,-122.22676,Street,"http://oakland.crimespotting.org/crime/2013-04-01/Vandalism/276796"
13-016292,"THREAT CRIME:INT:TERRORIZE","2013-04-01 10:30:00",Monday,"10:30","SIMPLE ASSAULT",20X,,"1700 block of 28th Avenue, Oakland 94601",37.783109,-122.22676,Street,"http://oakland.crimespotting.org/crime/2013-04-01/Simple_Assault/276795"
13-016305,BATTERY,"2013-04-01 10:15:00",Monday,"10:15","SIMPLE ASSAULT",35X,,"8700 block of MacArthur Boulevard, Oakland 94605",37.757298,-122.161959,Street,"http://oakland.crimespotting.org/crime/2013-04-01/Simple_Assault/276794"
13-016291,"BURGLARY-FORCIBLE ENTRY","2013-04-01 09:30:00",Monday,"09:30",BURGLARY,12Y,,"400 block of Hardy Street, Oakland 94618",37.841766,-122.25653,Street,"http://oakland.crimespotting.org/crime/2013-04-01/Burglary/276793"
13-016296,BATTERY,"2013-04-01 09:00:00",Monday,"09:00","SIMPLE ASSAULT",25X,,"3700 block of 39th Avenue, Oakland 94619",37.790957,-122.194854,Street,"http://oakland.crimespotting.org/crime/2013-04-01/Simple_Assault/276792"
13-016282,"BURGLARY-FORCIBLE ENTRY","2013-04-01 05:15:00",Monday,"05:15",BURGLARY,07X,,"1000 block of 32nd Street, Oakland 94608",37.823284,-122.278859,Street,"http://oakland.crimespotting.org/crime/2013-04-01/Burglary/276791"
13-016268,"SC BATTERY","2013-04-01 04:07:00",Monday,"04:07","SIMPLE ASSAULT",04X,,"600 block of 15th Street, Oakland 94612",37.806963,-122.275653,Street,"http://oakland.crimespotting.org/crime/2013-04-01/Simple_Assault/276790"
13-016267,"THREAT CRIME:INT:TERRORIZE","2013-04-01 01:35:00",Monday,"01:35","SIMPLE ASSAULT",30X,,"2700 block of 73rd Avenue, Oakland 94605",37.768662,-122.172216,Street,"http://oakland.crimespotting.org/crime/2013-04-01/Simple_Assault/276789"
13-016255,"VEHICLE THEFT - AUTO","2013-04-01 00:35:00",Monday,"00:35","VEHICLE THEFT",21Y,,"3200 block of Nicol Avenue, Oakland 94602",37.791654,-122.211747,Street,"http://oakland.crimespotting.org/crime/2013-04-01/Vehicle_Theft/276788"
13-015689,"DISTURB THE PEACE","2013-03-28 14:55:00",Thursday,"14:55","DISTURBING THE PEACE",04X,,"600 block of 15th Street, Oakland 94612",37.806963,-122.275653,Street,"http://oakland.crimespotting.org/crime/2013-03-28/Disturbing_The_Peace/276787"
13-015673,BURGLARY-AUTO,"2013-03-28 13:45:00",Thursday,"13:45",THEFT,08X,,"500 block of 30th Street, Oakland 94609",37.819305,-122.268576,Street,"http://oakland.crimespotting.org/crime/2013-03-28/Theft/276786"
13-015664,VANDALISM,"2013-03-28 12:19:00",Thursday,"12:19",VANDALISM,10X,,"1200 block of 55th Street, Emeryville, CA 94608, USA",37.838033,-122.284998,Street,"http://oakland.crimespotting.org/crime/2013-03-28/Vandalism/276784"
13-015651,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-03-28 12:11:00",Thursday,"12:11","SIMPLE ASSAULT",21X,,"3200 block of East 27th Street, Oakland 94601",37.789255,-122.217282,Street,"http://oakland.crimespotting.org/crime/2013-03-28/Simple_Assault/276783"
13-015657,BATTERY,"2013-03-28 12:09:00",Thursday,"12:09","SIMPLE ASSAULT",03X,,"316 14th Street, Oakland 94612",37.803314,-122.267899,Address,"http://oakland.crimespotting.org/crime/2013-03-28/Simple_Assault/276782"
13-015645,BATTERY,"2013-03-28 11:44:00",Thursday,"11:44","SIMPLE ASSAULT",04X,,"200 block of Lakeside Drive, Oakland 94610",37.806053,-122.262754,Street,"http://oakland.crimespotting.org/crime/2013-03-28/Simple_Assault/276781"
13-015637,ROBBERY-FIREARM,"2013-03-28 11:35:00",Thursday,"11:35",ROBBERY,19X,,"East 12th Street & 7th Avenue, Oakland, CA 94606, USA",37.793619,-122.253127,Intersection,"http://oakland.crimespotting.org/crime/2013-03-28/Robbery/276780"
13-015659,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-03-28 10:42:00",Thursday,"10:42","SIMPLE ASSAULT",34X,,"Birch Street & 84th Avenue, Oakland, CA 94621, USA",37.756784,-122.172863,Intersection,"http://oakland.crimespotting.org/crime/2013-03-28/Simple_Assault/276779"
