"Case Number","Description","Date, Time","Weekday","Time","Crime Type","Police Beat","Zip Code","Address","Latitude","Longitude","Accuracy","URL"
13-048661,"GRAND THEFT","2013-09-22 12:13:00",Sunday,"12:13",THEFT,07X,,"2300 block of San Pablo Avenue, Oakland 94612",37.814437,-122.274438,Street,"http://oakland.crimespotting.org/crime/2013-09-22/Theft/278685"
13-047211,"THREAT CRIME:INT:TERRORIZE","2013-09-15 01:00:00",Sunday,"01:00","SIMPLE ASSAULT",25X,,"3800 block of Maybelle Avenue, Oakland 94619",37.790344,-122.192204,Street,"http://oakland.crimespotting.org/crime/2013-09-15/Simple_Assault/278636"
13-047046,"BURGLARY-FORCIBLE ENTRY","2013-09-14 02:20:00",Saturday,"02:20",BURGLARY,20X,,"1800 block of 28th Avenue, Oakland 94601",37.783749,-122.225523,Street,"http://oakland.crimespotting.org/crime/2013-09-14/Burglary/278602"
13-047084,"VEHICLE THEFT - AUTO","2013-09-14 02:00:00",Saturday,"02:00","VEHICLE THEFT",26Y,,"Oakland, CA, USA",37.804364,-122.271114,Town,"http://oakland.crimespotting.org/crime/2013-09-14/Vehicle_Theft/278601"
13-046847,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-09-13 00:01:00",Friday,"00:01","SIMPLE ASSAULT",05X,,"700 block of East 15th Street, Oakland 94606",37.794388,-122.250575,Street,"http://oakland.crimespotting.org/crime/2013-09-13/Simple_Assault/278578"
13-046298,ROBBERY-FIREARM,"2013-09-10 09:10:00",Tuesday,"09:10",ROBBERY,21Y,,"2800 block of Brookdale Avenue, Oakland 94602",37.793016,-122.217859,Street,"http://oakland.crimespotting.org/crime/2013-09-10/Robbery/278564"
13-046230,BATTERY,"2013-09-10 03:03:00",Tuesday,"03:03","SIMPLE ASSAULT",34X,,"8500 block of International Boulevard, Oakland 94621",37.753118,-122.176883,Street,"http://oakland.crimespotting.org/crime/2013-09-10/Simple_Assault/278557"
13-045957,"EXHIBIT FIREARM","2013-09-08 12:30:00",Sunday,"12:30","SIMPLE ASSAULT",26X,,"900 block of 53rd Avenue, Oakland 94601",37.765342,-122.209532,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278554"
13-045951,"EXHIBIT DEADLY WEAPON OTHER THAN FIREARM","2013-09-08 12:00:00",Sunday,"12:00","SIMPLE ASSAULT",29X,,"7000 block of Lacey Avenue, Oakland 94605",37.770554,-122.172241,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278553"
13-045951,"CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE","2013-09-08 12:00:00",Sunday,"12:00","SIMPLE ASSAULT",29X,,"7000 block of Lacey Avenue, Oakland 94605",37.770554,-122.172241,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278552"
13-045946,"SHOOT AT INHABITED DWELLING/VEHICLE/ETC","2013-09-08 11:04:00",Sunday,"11:04","AGGRAVATED ASSAULT",07X,,"3200 block of Peralta Street, Oakland 94608",37.825155,-122.282946,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Aggravated_Assault/278551"
13-045961,"MALICIOUSLY DESTROY OTHER'S PROPERTY","2013-09-08 10:00:00",Sunday,"10:00",VANDALISM,02Y,,"700 block of Willow Street, Oakland 94607",37.807384,-122.300566,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Vandalism/278547"
13-045941,BATTERY,"2013-09-08 10:00:00",Sunday,"10:00","SIMPLE ASSAULT",14X,,"200 block of Vernon Street, Oakland 94610",37.813727,-122.258338,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278549"
13-045961,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-09-08 10:00:00",Sunday,"10:00","SIMPLE ASSAULT",02Y,,"700 block of Willow Street, Oakland 94607",37.807384,-122.300566,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278546"
13-045939,"FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","2013-09-08 10:00:00",Sunday,"10:00","AGGRAVATED ASSAULT",11X,,"5500 block of Martin Luther King Junior Way, Oakland 94609",37.840492,-122.269669,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Aggravated_Assault/278548"
13-045923,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","2013-09-08 09:20:00",Sunday,"09:20",ROBBERY,24Y,,"4000 block of Walnut Street, Oakland 94619",37.783974,-122.204644,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Robbery/278545"
13-045927,ROBBERY-FIREARM,"2013-09-08 09:04:00",Sunday,"09:04",ROBBERY,24Y,,"35th Avenue & Lynde Street, Oakland, CA 94601, USA",37.786681,-122.21261,Intersection,"http://oakland.crimespotting.org/crime/2013-09-08/Robbery/278544"
13-045948,"VEHICLE THEFT - AUTO","2013-09-08 08:52:00",Sunday,"08:52","VEHICLE THEFT",21X,,"2600 block of Foothill Boulevard, Oakland 94601",37.784556,-122.228431,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Vehicle_Theft/278543"
13-045922,ROBBERY-FIREARM,"2013-09-08 08:50:00",Sunday,"08:50",ROBBERY,21Y,,"2900 block of School Street, Oakland 94602",37.795153,-122.213388,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Robbery/278542"
13-045918,"FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","2013-09-08 07:26:00",Sunday,"07:26","AGGRAVATED ASSAULT",29X,,"6600 block of Laird Avenue, Oakland 94605",37.773386,-122.17503,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Aggravated_Assault/278541"
13-045918,"INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT","2013-09-08 07:26:00",Sunday,"07:26","AGGRAVATED ASSAULT",29X,,"6600 block of Laird Avenue, Oakland 94605",37.773386,-122.17503,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Aggravated_Assault/278540"
13-045937,"VANDALISM:DEFACE PROPERTY","2013-09-08 05:31:00",Sunday,"05:31",VANDALISM,30X,,"1700 block of 70th Avenue, Oakland 94621",37.762942,-122.185488,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Vandalism/278539"
13-045915,"ATTEMPTED BURGLARY","2013-09-08 05:30:00",Sunday,"05:30",BURGLARY,04X,,"600 block of 19th Street, Oakland 94612",37.809675,-122.27422,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Burglary/278538"
13-045919,BURGLARY-AUTO,"2013-09-08 04:44:00",Sunday,"04:44",THEFT,05X,,"1200 block of 21st Street, Oakland 94607",37.814942,-122.286557,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Theft/278537"
13-045900,BATTERY,"2013-09-08 02:00:00",Sunday,"02:00","SIMPLE ASSAULT",26Y,,"1305 76th Avenue, Oakland 94621",37.757765,-122.185702,Address,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278536"
13-045899,BATTERY,"2013-09-08 01:21:00",Sunday,"01:21","SIMPLE ASSAULT",02Y,,"1400 block of 7th Street, Oakland 94607",37.805388,-122.294912,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278535"
13-045897,BATTERY,"2013-09-08 01:10:00",Sunday,"01:10","SIMPLE ASSAULT",04X,,"1700 block of Broadway, Oakland 94612",37.807416,-122.269229,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278534"
13-909451,VANDALISM,"2013-09-08 01:00:00",Sunday,"01:00",VANDALISM,,,"500 block of Merrimac Street, Oakland 94612",37.816935,-122.269006,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Vandalism/278533"
13-045898,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-09-08 00:52:00",Sunday,"00:52","SIMPLE ASSAULT",17X,,"1700 block of 4th Avenue, Oakland 94606",37.79873,-122.251491,Street,"http://oakland.crimespotting.org/crime/2013-09-08/Simple_Assault/278532"
13-045889,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","2013-09-08 00:03:00",Sunday,"00:03",ROBBERY,26Y,,"69th Avenue & Lucille Street, Oakland, CA 94621, USA",37.75846,-122.193747,Intersection,"http://oakland.crimespotting.org/crime/2013-09-08/Robbery/278531"
13-045260,"POSSESS CONTROLLED SUBSTANCE","2013-09-04 12:35:00",Wednesday,"12:35",NARCOTICS,26Y,,"7000 block of Coliseum Way, Oakland 94621",37.755058,-122.205355,Street,"http://oakland.crimespotting.org/crime/2013-09-04/Narcotics/278518"
13-045232,"VEHICLE THEFT - AUTO","2013-09-04 10:45:00",Wednesday,"10:45","VEHICLE THEFT",28X,,"5300 block of Brann Street, Oakland 94619",37.778011,-122.189772,Street,"http://oakland.crimespotting.org/crime/2013-09-04/Vehicle_Theft/278517"
13-045239,"VANDALISM [$1,000 TO UNDER $5,000] (AMENDED)","2013-09-04 10:30:00",Wednesday,"10:30",VANDALISM,04X,,"100 block of Frank H Ogawa Plaza, Oakland 94612",37.805116,-122.27111,Street,"http://oakland.crimespotting.org/crime/2013-09-04/Vandalism/278516"
13-045230,"ATTEMPTED ROBBERY-KNIFE","2013-09-04 10:15:00",Wednesday,"10:15",ROBBERY,17Y,,"1300 block of East 32nd Street, Oakland 94602",37.800498,-122.232431,Street,"http://oakland.crimespotting.org/crime/2013-09-04/Robbery/278514"
13-045230,"FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","2013-09-04 10:15:00",Wednesday,"10:15","AGGRAVATED ASSAULT",17Y,,"1300 block of East 32nd Street, Oakland 94602",37.800498,-122.232431,Street,"http://oakland.crimespotting.org/crime/2013-09-04/Aggravated_Assault/278515"
13-045234,ROBBERY-FIREARM,"2013-09-04 10:10:00",Wednesday,"10:10",ROBBERY,27Y,,"1400 block of 47th Avenue, Oakland 94601",37.771284,-122.210145,Street,"http://oakland.crimespotting.org/crime/2013-09-04/Robbery/278513"
13-045224,"VEHICLE THEFT - AUTO","2013-09-04 09:55:00",Wednesday,"09:55","VEHICLE THEFT",29X,,"6100 block of Oakdale Avenue, Oakland 94605",37.778941,-122.176609,Street,"http://oakland.crimespotting.org/crime/2013-09-04/Vehicle_Theft/278512"
13-042041,"VEHICLE THEFT - AUTO","2013-09-04 09:35:00",Wednesday,"09:35","VEHICLE THEFT",24Y,,"3300 block of School Street, Oakland 94602",37.792194,-122.206833,Street,"http://oakland.crimespotting.org/crime/2013-09-04/Vehicle_Theft/278510"
13-042041,"POSS STOLEN VEH/VES/ETC","2013-09-04 09:35:00",Wednesday,"09:35",THEFT,24Y,,"3300 block of School Street, Oakland 94602",37.792194,-122.206833,Street,"http://oakland.crimespotting.org/crime/2013-09-04/Theft/278511"
13-045223,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","2013-09-04 09:30:00",Wednesday,"09:30",ROBBERY,26Y,,"7200 block of Hamilton Street, Oakland 94621",37.756962,-122.190856,Street,"http://oakland.crimespotting.org/crime/2013-09-04/Robbery/278509"
13-045178,BATTERY,"2013-09-04 00:27:00",Wednesday,"00:27","SIMPLE ASSAULT",25X,,"4200 block of MacArthur Boulevard, Oakland 94619",37.787344,-122.194808,Street,"http://oakland.crimespotting.org/crime/2013-09-04/Simple_Assault/278508"
13-045182,BURGLARY-AUTO,"2013-09-04 00:00:00",Wednesday,"00:00",THEFT,08X,,"2300 block of Telegraph Avenue, Oakland 94612",37.813475,-122.268569,Street,"http://oakland.crimespotting.org/crime/2013-09-04/Theft/278507"
13-044854,"VANDALISM:DEFACE PROPERTY","2013-09-02 10:55:00",Monday,"10:55",VANDALISM,23X,,"3400 block of East 17th Street, Oakland 94601",37.779984,-122.220973,Street,"http://oakland.crimespotting.org/crime/2013-09-02/Vandalism/278505"
13-044833,"BURGLARY-NO FORCE","2013-09-02 08:45:00",Monday,"08:45",BURGLARY,02Y,,"1000 block of Wood Street, Oakland 94607",37.811028,-122.2996,Street,"http://oakland.crimespotting.org/crime/2013-09-02/Burglary/278504"
13-909185,THEFT,"2013-09-02 05:00:00",Monday,"05:00",THEFT,12Y,,"5400 block of Boyd Avenue, Oakland 94618",37.842101,-122.252869,Street,"http://oakland.crimespotting.org/crime/2013-09-02/Theft/278503"
13-044258,"VEHICLE THEFT - AUTO","2013-09-02 04:15:00",Monday,"04:15","VEHICLE THEFT",19X,,"2200 block of East 12th Street, Oakland 94606",37.783396,-122.23739,Street,"http://oakland.crimespotting.org/crime/2013-09-02/Vehicle_Theft/278500"
13-044258,"POSS STOLEN VEH/VES/ETC","2013-09-02 04:15:00",Monday,"04:15",THEFT,19X,,"2200 block of East 12th Street, Oakland 94606",37.783396,-122.23739,Street,"http://oakland.crimespotting.org/crime/2013-09-02/Theft/278501"
13-044258,"POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA","2013-09-02 04:15:00",Monday,"04:15",NARCOTICS,19X,,"2200 block of East 12th Street, Oakland 94606",37.783396,-122.23739,Street,"http://oakland.crimespotting.org/crime/2013-09-02/Narcotics/278502"
13-044853,"VEHICLE THEFT - AUTO","2013-09-02 04:00:00",Monday,"04:00","VEHICLE THEFT",31Y,,"8400 block of Enterprise Way, Oakland 94621",37.743574,-122.193662,Street,"http://oakland.crimespotting.org/crime/2013-09-02/Vehicle_Theft/278499"
13-044812,THEFT,"2013-09-02 04:00:00",Monday,"04:00",THEFT,08X,,"Telegraph Avenue & 34th Street, Oakland, CA 94609, USA",37.822487,-122.266249,Intersection,"http://oakland.crimespotting.org/crime/2013-09-02/Theft/278498"
13-909187,BURGLARY-AUTO,"2013-09-02 03:00:00",Monday,"03:00",THEFT,22Y,,"3200 block of Arizona Street, Oakland 94602",37.798143,-122.199495,Street,"http://oakland.crimespotting.org/crime/2013-09-02/Theft/278497"
13-044824,"VEHICLE THEFT - AUTO","2013-09-02 02:30:00",Monday,"02:30","VEHICLE THEFT",31Z,,"10400 block of Patricia Court, Oakland 94603",37.732707,-122.179389,Street,"http://oakland.crimespotting.org/crime/2013-09-02/Vehicle_Theft/278496"
13-044801,"VEHICLE THEFT - AUTO","2013-09-02 02:15:00",Monday,"02:15","VEHICLE THEFT",26Y,94621,"International Boulevard & 55th Avenue, Oakland, CA 94621, USA",37.767091,-122.203727,Intersection,"http://oakland.crimespotting.org/crime/2013-09-02/Vehicle_Theft/278495"
13-044801,"POSS STOLEN VEH/VES/ETC","2013-09-02 02:15:00",Monday,"02:15",THEFT,26Y,94621,"International Boulevard & 55th Avenue, Oakland, CA 94621, USA",37.767091,-122.203727,Intersection,"http://oakland.crimespotting.org/crime/2013-09-02/Theft/278494"
13-044837,"BAT W/SERIOUS BODILY INJ","2013-09-02 01:22:00",Monday,"01:22","SIMPLE ASSAULT",29X,,"3300 block of 64th Avenue Place, Oakland 94605",37.774142,-122.1785,Street,"http://oakland.crimespotting.org/crime/2013-09-02/Simple_Assault/278493"
13-044794,VANDALISM,"2013-09-02 01:13:00",Monday,"01:13",VANDALISM,27X,,"5400 block of Ygnacio Avenue, Oakland 94601",37.773504,-122.197376,Street,"http://oakland.crimespotting.org/crime/2013-09-02/Vandalism/278492"
13-044789,"LOITER:INTENT:PROSTITUTION","2013-09-02 00:10:00",Monday,"00:10",PROSTITUTION,23X,,"3900 block of International Boulevard, Oakland 94601",37.774111,-122.218466,Street,"http://oakland.crimespotting.org/crime/2013-09-02/Prostitution/278491"
13-044792,ROBBERY-FIREARM,"2013-09-02 00:00:00",Monday,"00:00",ROBBERY,09X,,"4100 block of Montgomery Street, Oakland 94611",37.828218,-122.252952,Street,"http://oakland.crimespotting.org/crime/2013-09-02/Robbery/278490"
13-044304,"FORCE/ADW-KNIFE:GBI","2013-08-30 03:20:00",Friday,"03:20","AGGRAVATED ASSAULT",02X,,"Oakland, CA, USA",37.804364,-122.271114,Town,"http://oakland.crimespotting.org/crime/2013-08-30/Aggravated_Assault/278489"
13-044300,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-08-30 01:15:00",Friday,"01:15","SIMPLE ASSAULT",35X,,"8700 block of Seneca Street, Oakland 94605",37.758138,-122.158955,Street,"http://oakland.crimespotting.org/crime/2013-08-30/Simple_Assault/278488"
13-044006,BATTERY,"2013-08-28 14:20:00",Wednesday,"14:20","SIMPLE ASSAULT",04X,94612,"1905 San Pablo Avenue, Oakland 94612",37.809134,-122.272994,Address,"http://oakland.crimespotting.org/crime/2013-08-28/Simple_Assault/278485"
13-044016,"VEHICLE THEFT - AUTO","2013-08-28 10:30:00",Wednesday,"10:30","VEHICLE THEFT",17Y,,"2425 10th Avenue, Oakland 94606",37.799243,-122.240167,Address,"http://oakland.crimespotting.org/crime/2013-08-28/Vehicle_Theft/278484"
13-908985,"BURGLARY-FORCIBLE ENTRY","2013-08-28 09:00:00",Wednesday,"09:00",BURGLARY,,,"9900 block of Cherry Street, Oakland 94603",37.744224,-122.164489,Street,"http://oakland.crimespotting.org/crime/2013-08-28/Burglary/278482"
13-908969,BURGLARY-AUTO,"2013-08-28 08:00:00",Wednesday,"08:00",THEFT,,,"1700 block of 83rd Avenue, Oakland 94621",37.757018,-122.173888,Street,"http://oakland.crimespotting.org/crime/2013-08-28/Theft/278481"
13-908978,"GRAND THEFT","2013-08-28 07:45:00",Wednesday,"07:45",THEFT,,,"1700 block of Embarcadero, Oakland 94606",37.783631,-122.24313,Street,"http://oakland.crimespotting.org/crime/2013-08-28/Theft/278480"
13-908959,THEFT,"2013-08-28 07:40:00",Wednesday,"07:40",THEFT,,,"400 block of Staten Avenue, Oakland 94610",37.808829,-122.253797,Street,"http://oakland.crimespotting.org/crime/2013-08-28/Theft/278479"
13-908960,BURGLARY-AUTO,"2013-08-28 07:15:00",Wednesday,"07:15",THEFT,,,"5100 block of Broadway, Oakland 94618",37.835262,-122.251767,Street,"http://oakland.crimespotting.org/crime/2013-08-28/Theft/278478"
13-908961,BURGLARY-AUTO,"2013-08-28 06:05:00",Wednesday,"06:05",THEFT,,,"4200 block of Porter Street, Oakland 94619",37.78671,-122.197557,Street,"http://oakland.crimespotting.org/crime/2013-08-28/Theft/278477"
13-043916,"ATTEMPT THEFT","2013-08-28 05:40:00",Wednesday,"05:40",THEFT,12Y,,"5500 block of Taft Avenue, Oakland 94618",37.842856,-122.249223,Street,"http://oakland.crimespotting.org/crime/2013-08-28/Theft/278476"
13-043925,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-08-28 03:40:00",Wednesday,"03:40","SIMPLE ASSAULT",11X,,"700 block of Aileen Street, Oakland 94609",37.841523,-122.268863,Street,"http://oakland.crimespotting.org/crime/2013-08-28/Simple_Assault/278475"
13-908958,"BURGLARY-FORCIBLE ENTRY","2013-08-28 02:25:00",Wednesday,"02:25",BURGLARY,,,"4000 block of Burckhalter Avenue, Oakland 94605",37.776219,-122.165873,Street,"http://oakland.crimespotting.org/crime/2013-08-28/Burglary/278474"
13-043903,BATTERY,"2013-08-28 01:06:00",Wednesday,"01:06","SIMPLE ASSAULT",21X,,"2100 block of 25th Avenue, Oakland 94601",37.787299,-122.227509,Street,"http://oakland.crimespotting.org/crime/2013-08-28/Simple_Assault/278473"
13-042744,THEFT,"2013-08-22 10:30:00",Thursday,"10:30",THEFT,31Z,,"10400 block of Nattress Way, Oakland 94603",37.730575,-122.180744,Street,"http://oakland.crimespotting.org/crime/2013-08-22/Theft/278472"
13-042763,"VEHICLE THEFT - AUTO","2013-08-22 03:15:00",Thursday,"03:15","VEHICLE THEFT",30Y,,"Sterling Drive & Crest Avenue, Oakland, CA 94605, USA",37.766461,-122.157614,Intersection,"http://oakland.crimespotting.org/crime/2013-08-22/Vehicle_Theft/278471"
13-042764,"BURGLARY-FORCIBLE ENTRY","2013-08-22 02:35:00",Thursday,"02:35",BURGLARY,01X,,"500 block of 2nd Street, Oakland 94607",37.797047,-122.278743,Street,"http://oakland.crimespotting.org/crime/2013-08-22/Burglary/278470"
13-042757,"POSSESS MARIJUANA 28.5 GRAMS OR LESS OR W/PRIOR","2013-08-22 01:35:00",Thursday,"01:35",NARCOTICS,06X,,"3600 block of West Street, Oakland 94608",37.826335,-122.271637,Street,"http://oakland.crimespotting.org/crime/2013-08-22/Narcotics/278469"
13-042757,"POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA","2013-08-22 01:35:00",Thursday,"01:35",NARCOTICS,06X,,"3600 block of West Street, Oakland 94608",37.826335,-122.271637,Street,"http://oakland.crimespotting.org/crime/2013-08-22/Narcotics/278468"
13-908707,"GRAND THEFT","2013-08-20 15:30:00",Tuesday,"15:30",THEFT,,,"6500 block of Shattuck Avenue, Oakland 94609",37.851079,-122.265942,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Theft/278467"
13-042448,VANDALISM,"2013-08-20 12:39:00",Tuesday,"12:39",VANDALISM,27Y,,"1400 block of 50th Avenue, Oakland 94601",37.770516,-122.207985,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Vandalism/278466"
13-042447,VANDALISM,"2013-08-20 12:35:00",Tuesday,"12:35",VANDALISM,29X,,"3100 block of 64th Avenue, Oakland 94605",37.772783,-122.181421,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Vandalism/278465"
13-908691,BURGLARY-AUTO,"2013-08-20 11:35:00",Tuesday,"11:35",THEFT,,,"600 block of East 12th Street, Oakland 94606",37.793985,-122.253516,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Theft/278464"
13-042440,"DISTURB THE PEACE","2013-08-20 11:09:00",Tuesday,"11:09","DISTURBING THE PEACE",03Y,,"300 block of Broadway, Oakland 94607",37.796967,-122.275697,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Disturbing_The_Peace/278463"
13-042415,"BURGLARY-FORCIBLE ENTRY","2013-08-20 10:34:00",Tuesday,"10:34",BURGLARY,27X,,"2400 block of Kingsland Avenue, Oakland 94619",37.774512,-122.196851,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Burglary/278462"
13-042444,BURGLARY-AUTO,"2013-08-20 10:20:00",Tuesday,"10:20",THEFT,31Y,,"600 block of Hegenberger Road, Oakland 94621",37.74891,-122.196229,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Theft/278461"
13-908703,THEFT,"2013-08-20 09:30:00",Tuesday,"09:30",THEFT,,,"1500 block of 6th Avenue, Oakland 94606",37.796176,-122.251366,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Theft/278460"
13-042403,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-08-20 09:15:00",Tuesday,"09:15","SIMPLE ASSAULT",30X,,"2451 Havenscourt Boulevard, Oakland 94605",37.766874,-122.186127,Address,"http://oakland.crimespotting.org/crime/2013-08-20/Simple_Assault/278459"
13-042424,"THREAT CRIME:INT:TERRORIZE","2013-08-20 09:00:00",Tuesday,"09:00","SIMPLE ASSAULT",20X,,"1800 block of 28th Avenue, Oakland 94601",37.783749,-122.225523,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Simple_Assault/278458"
13-908683,"GRAND THEFT","2013-08-20 08:35:00",Tuesday,"08:35",THEFT,,,"35th Avenue, Oakland, CA, USA",37.787992,-122.210371,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Theft/278457"
13-042382,"BURGLARY-FORCIBLE ENTRY","2013-08-20 06:39:00",Tuesday,"06:39",BURGLARY,01X,,"300 block of Broadway, Oakland 94607",37.796967,-122.275697,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Burglary/278456"
13-042333,"FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","2013-08-20 03:50:00",Tuesday,"03:50","AGGRAVATED ASSAULT",99X,,"A Street, Oakland, CA, USA",37.747708,-122.175381,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Aggravated_Assault/278455"
13-908700,BURGLARY-AUTO,"2013-08-20 03:35:00",Tuesday,"03:35",THEFT,,,"3700 block of Park Boulevard Way, Oakland 94610",37.804897,-122.230361,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Theft/278454"
13-042449,"VEHICLE THEFT - AUTO","2013-08-20 03:00:00",Tuesday,"03:00","VEHICLE THEFT",24X,,"3600 block of Lyon Avenue, Oakland 94601",37.785189,-122.209811,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Vehicle_Theft/278453"
13-042469,"VEHICLE THEFT - AUTO","2013-08-20 02:30:00",Tuesday,"02:30","VEHICLE THEFT",24Y,,"3800 block of Dale Place, Oakland 94619",37.786202,-122.203765,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Vehicle_Theft/278452"
13-042358,"VANDALISM [UNDER $1,000] (AMENDED)","2013-08-20 01:36:00",Tuesday,"01:36",VANDALISM,02X,,"900 block of Market Street, Oakland 94607",37.804983,-122.282044,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Vandalism/278451"
13-042355,BATTERY,"2013-08-20 01:05:00",Tuesday,"01:05","SIMPLE ASSAULT",12Y,,"6300 block of Dana Street, Oakland 94609",37.84968,-122.25826,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Simple_Assault/278449"
13-042355,ROBBERY-FIREARM,"2013-08-20 01:05:00",Tuesday,"01:05",ROBBERY,12Y,,"6300 block of Dana Street, Oakland 94609",37.84968,-122.25826,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Robbery/278450"
13-042369,"VEHICLE THEFT - AUTO","2013-08-20 01:00:00",Tuesday,"01:00","VEHICLE THEFT",34X,,"1600 block of 85th Avenue, Oakland 94621",37.754937,-122.174569,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Vehicle_Theft/278448"
13-908709,BURGLARY-AUTO,"2013-08-20 01:00:00",Tuesday,"01:00",THEFT,,,"Elizabeth Street, Oakland, CA, USA",37.770452,-122.19546,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Theft/278447"
13-042455,"DISTURB THE PEACE","2013-08-20 00:00:00",Tuesday,"00:00","DISTURBING THE PEACE",32X,,"1800 block of 101st Avenue, Oakland 94603",37.743588,-122.163151,Street,"http://oakland.crimespotting.org/crime/2013-08-20/Disturbing_The_Peace/278446"
13-042275,BURGLARY-AUTO,"2013-08-19 14:45:00",Monday,"14:45",THEFT,31X,,"0 Hegenberger Road, Oakland 94621",37.726579,-122.201536,Address,"http://oakland.crimespotting.org/crime/2013-08-19/Theft/278444"
13-042221,"INFLICT CRPL INJ SP/COHAB","2013-08-19 10:05:00",Monday,"10:05","AGGRAVATED ASSAULT",15X,,"2400 block of Park Boulevard, Oakland 94606",37.802159,-122.242769,Street,"http://oakland.crimespotting.org/crime/2013-08-19/Aggravated_Assault/278438"
13-042294,"BURGLARY-FORCIBLE ENTRY","2013-08-19 10:00:00",Monday,"10:00",BURGLARY,29X,,"3400 block of 68th Avenue, Oakland 94605",37.772385,-122.174661,Street,"http://oakland.crimespotting.org/crime/2013-08-19/Burglary/278437"
13-042226,BATTERY,"2013-08-19 09:57:00",Monday,"09:57","SIMPLE ASSAULT",05X,,"700 block of East 15th Street, Oakland 94606",37.794388,-122.250575,Street,"http://oakland.crimespotting.org/crime/2013-08-19/Simple_Assault/278436"
13-042214,"BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","2013-08-19 09:50:00",Monday,"09:50","SIMPLE ASSAULT",35Y,,"3000 block of Broadmoor View, Oakland 94605",37.745671,-122.145037,Street,"http://oakland.crimespotting.org/crime/2013-08-19/Simple_Assault/278434"
13-042230,BATTERY,"2013-08-19 09:05:00",Monday,"09:05","SIMPLE ASSAULT",35X,,"2300 block of 92nd Avenue, Oakland 94603",37.753467,-122.163485,Street,"http://oakland.crimespotting.org/crime/2013-08-19/Simple_Assault/278433"
13-042202,"ROBBERY-OTHER DANGEROUS WEAPON","2013-08-19 09:05:00",Monday,"09:05",ROBBERY,26X,,"5200 block of International Boulevard, Oakland 94601",37.768375,-122.206458,Street,"http://oakland.crimespotting.org/crime/2013-08-19/Robbery/278432"
