time,flow,lanes,observed_percent
1371304800000,1965,.0259,60
1371308400000,5909,.0765,60
1371312000000,6823,.0902,60
1371315600000,7396,.1016,60
1371319200000,8067,.1241,60
1371322800000,7404,.1031,60
1371326400000,7442,.1294,60
1371330000000,7778,.1272,60
1371333600000,7287,.1009,60
1371337200000,6656,.1752,60
1371340800000,7691,.1735,60
1371344400000,7518,.2232,60
1371348000000,7150,.1849,60
1371351600000,6097,.0824,60
1371355200000,6279,.0854,60
1371358800000,6278,.0856,60
1371362400000,4960,.0649,60
1371366000000,2739,.035,60
1371369600000,1622,.0205,60
1371373200000,1206,.0149,60
1371376800000,1043,.0129,60
1371380400000,713,.0096,60
1371384000000,0,0,60
1371387600000,0,0,60
1371391200000,0,0,60
1371394800000,1355,.0167,60
1371398400000,5521,.0695,60
1371402000000,6978,.0926,60
1371405600000,7217,.1051,60
1371409200000,7202,.1034,60
1371412800000,7510,.1115,60
1371416400000,7520,.1087,60
1371420000000,7150,.1028,60
1371423600000,6723,.2614,60
1371427200000,7601,.1737,60
1371430800000,7169,.1147,60
1371434400000,6732,.1165,60
1371438000000,6918,.1092,60
1371441600000,6875,.186,60
1371445200000,6106,.1076,60
1371448800000,3328,.0421,60
1371452400000,1630,.0205,60
1371456000000,954,.0126,60
1371459600000,747,.0105,60
1371463200000,1169,.0185,60
1371466800000,2886,.0398,60
1371470400000,6888,.0927,60
1371474000000,8584,.1213,60
1371477600000,8448,.1231,60
1371481200000,8531,.1303,60
1371484800000,8160,.1334,60
1371488400000,7822,.1255,60
1371492000000,7442,.1166,60
1371495600000,6660,.1011,60
1371499200000,6662,.0999,60
1371502800000,6613,.105,60
1371506400000,6484,.0931,60
1371510000000,7323,.1193,60
1371513600000,7219,.2548,60
1371517200000,7427,.2215,60
1371520800000,5116,.0665,60
1371524400000,4025,.0551,60
1371528000000,3933,.0539,60
1371531600000,3356,.0431,60
1371535200000,1977,.027,60
1371538800000,1222,.0165,60
1371542400000,818,.0113,60
1371546000000,732,.0115,60
1371549600000,1238,.0182,60
1371553200000,2730,.0369,60
1371556800000,6698,.0989,60
1371560400000,8795,.1988,60
1371564000000,7908,.2268,60
1371567600000,7617,.234,60
1371571200000,7874,.2311,60
1371574800000,7183,.1937,60
1371578400000,5061,.1155,60
1371582000000,4988,.0823,60
1371585600000,4296,.0652,60
1371589200000,6842,.1024,60
1371592800000,6314,.0922,60
1371596400000,7323,.1198,60
1371600000000,7090,.255,60
1371603600000,7430,.2454,60
1371607200000,5944,.2267,60
1371610800000,4083,.0541,60
1371614400000,3879,.0528,60
1371618000000,3687,.0495,60
1371621600000,2049,.0276,60
1371625200000,1254,.0169,60
1371628800000,884,.0124,60
1371632400000,804,.0122,60
1371636000000,995,.019,45
1371639600000,2648,.0346,60
1371643200000,6753,.0981,60
1371646800000,8815,.1358,60
1371650400000,8656,.1286,60
1371654000000,8578,.1285,60
1371657600000,8234,.1272,60
1371661200000,8140,.1294,60
1371664800000,7895,.1305,60
1371668400000,7861,.1434,60
1371672000000,7334,.1835,60
1371675600000,7004,.2394,60
1371679200000,6359,.0943,60
1371682800000,6446,.141,60
1371686400000,6586,.3055,60
1371690000000,7047,.266,60
1371693600000,6081,.1755,60
1371697200000,4375,.0553,60
1371700800000,4166,.0559,60
1371704400000,4055,.056,60
1371708000000,2337,.0299,60
1371711600000,1313,.0174,60
1371715200000,803,.0112,60
1371718800000,792,.0116,60
1371722400000,1221,.0173,60
1371726000000,2695,.0352,60
1371733200000,7785,.125,55
1371736800000,8719,.1408,60
1371740400000,8399,.1647,60
1371744000000,8228,.2367,60
1371747600000,8148,.2214,60
1371751200000,7924,.138,60
1371754800000,7271,.1091,60
1371758400000,6702,.0957,60
1371762000000,7070,.1011,60
1371765600000,6839,.0964,60
1371769200000,7065,.1485,60
1371772800000,5661,.3442,60
1371776400000,5163,.3045,60
1371780000000,7629,.176,60
1371783600000,5265,.0763,60
1371787200000,4394,.0578,60
1371790800000,4078,.0533,60
1371794400000,2427,.0315,60
1371798000000,1365,.0179,60
1371801600000,891,.0121,60
1371805200000,803,.0124,60
1371808800000,1117,.0187,60
1371812400000,2380,.0313,60
1371816000000,6262,.0884,60
1371819600000,7938,.1164,60
1371823200000,7599,.1135,60
1371826800000,8195,.1262,60
1371830400000,7220,.1147,60
1371834000000,6954,.1094,60
1371837600000,6660,.1051,60
1371841200000,6603,.1045,60
1371844800000,6402,.0961,60
1371848400000,6530,.1161,60
1371852000000,6875,.1013,60
1371855600000,7289,.109,60
1371859200000,7236,.1219,60
1371862800000,7448,.1131,60
1371866400000,5895,.0815,60
1371870000000,4695,.0593,60
1371873600000,4328,.0561,60
1371877200000,4285,.0559,60
1371880800000,3035,.0473,60
1371884400000,2027,.0295,60
1371888000000,1189,.0155,60
1371891600000,947,.0126,60
1371895200000,53,.0007,60
1371898800000,0,0,60
1371902400000,0,0,60
1371906000000,0,0,60
1371909600000,3077,.0396,60
1371913200000,5253,.0668,60
1371916800000,6333,.0865,60
1371920400000,7209,.1025,60
1371924000000,6399,.2445,60
1371927600000,7191,.1626,60
1371931200000,7015,.1076,60
1371934800000,6759,.0949,60
1371938400000,6967,.1028,60
1371942000000,6532,.0944,60
1371945600000,6371,.2273,60
1371949200000,6620,.2231,60
1371952800000,6819,.1915,60
1371956400000,5486,.0809,60
1371960000000,5957,.082,60
1371963600000,5785,.0788,60
1371967200000,4721,.0702,60
1371970800000,2391,.029,60
1371974400000,1386,.0166,60
1371978000000,1080,.014,60
1371981600000,912,.0117,60
1371985200000,1145,.0141,60
1371988800000,1891,.0232,60
1371992400000,2786,.0333,60
1371996000000,3097,.0367,60
1371999600000,3855,.0484,60
1372003200000,5523,.0701,60
1372006800000,6872,.0941,60
1372010400000,6445,.0909,60
1372014000000,7434,.1122,60
1372017600000,6581,.1449,60
1372021200000,6647,.2345,60
