id,lat,lon
400000,38.081167,-122.547606
400001,37.364085,-121.901149
400002,37.584097,-122.328465
400006,37.605003,-122.065542
400007,37.586936,-122.337721
400009,37.864883,-122.303345
400010,37.623668,-122.400687
400011,38.041862,-122.536533
400014,37.245818,-121.775473
400015,37.534901,-122.076575
400017,37.253303,-121.94544
400025,37.891953,-122.062776
400026,37.809074,-122.244479
400027,37.914241,-122.317388
400028,37.649733,-122.451962
400030,37.359087,-121.906538
400031,37.787056,-122.196191
400037,37.943413,-122.05914
400038,37.622701,-122.078223
400039,37.635096,-122.403232
400040,37.294625,-121.873166
400041,37.633535,-122.085656
400043,37.753591,-122.403092
400044,38.116435,-122.106331
400045,37.363402,-121.902233
400048,37.86726,-122.199105
400049,38.015319,-121.992996
400050,37.688984,-122.114253
400052,37.255791,-121.875479
400053,37.862379,-122.034414
400057,37.335022,-121.935522
400059,37.250481,-121.907735
400060,37.87181,-122.305549
400065,37.32044,-121.890471
400067,37.597694,-122.060285
400069,37.385758,-121.977493
400071,37.567395,-122.26939
400073,37.2563,-121.955559
400074,38.108307,-122.22977
400075,37.82576,-122.275143
400078,37.91393,-122.066407
400079,37.904377,-122.313309
400082,37.980187,-122.317007
400083,37.839128,-122.264826
400084,37.329258,-122.012053
400085,37.255594,-121.87471
400088,37.414988,-121.912685
400090,37.819048,-121.993114
400091,37.70723,-122.162087
400093,37.811953,-122.303779
400094,37.776769,-122.236107
400095,37.900816,-122.310886
400096,37.418049,-121.972381
400097,37.279012,-122.010614
400098,37.589175,-122.359999
400100,37.295052,-121.938872
400101,37.872945,-122.189548
400103,37.839085,-122.26443
400104,37.419313,-121.95548
400105,37.779363,-121.976498
400106,37.586325,-122.332169
400107,37.550467,-122.293264
400108,37.190197,-121.992771
400109,37.362706,-121.889426
400110,37.951045,-122.055749
400111,37.70141,-121.888557
400112,37.998096,-122.038232
400113,37.932553,-122.326013
400115,37.688688,-122.114306
400116,37.633443,-122.403124
400118,37.780247,-121.976637
400119,37.608473,-122.389316
400122,37.36614,-121.901132
400124,38.037879,-122.248062
400125,37.617067,-122.398437
400126,37.856366,-122.301014
400127,37.516003,-122.106861
400128,38.084974,-122.233096
400132,37.243208,-121.806387
400134,37.731787,-122.188781
400137,37.54653,-122.022581
400138,37.31631,-121.829714
400141,37.523522,-121.989607
400143,38.074388,-122.541483
400145,37.251693,-121.838501
400146,37.680405,-122.123301
400147,37.34221,-121.926305
400148,37.250664,-121.912479
400149,37.4118,-122.077964
400150,37.872824,-122.043122
400152,37.805539,-121.990262
400153,37.700938,-121.828882
400154,37.226342,-121.975157
400156,37.727079,-122.445019
400158,37.421059,-121.93678
400160,37.348392,-121.860589
400162,37.552555,-122.307411
400164,37.530179,-122.093116
400168,37.391166,-121.995524
400169,37.870801,-122.042021
400171,37.891457,-122.152067
400172,37.376264,-121.939712
400174,37.403686,-122.06976
400176,37.866963,-122.303994
400178,37.276988,-121.863502
400180,37.674405,-122.114201
400181,37.244125,-121.772528
400182,37.925458,-122.320648
400183,37.689942,-122.390669
400184,37.966533,-122.056341
400185,37.303131,-122.034527
400186,37.572471,-122.046218
400189,37.493107,-121.948928
400190,37.771395,-122.223163
400192,37.71565,-122.173379
400193,37.935254,-122.060384
400195,37.321278,-121.834098
400197,37.895088,-122.112962
400201,37.419186,-121.962831
400202,37.92135,-122.337615
400203,37.822145,-122.259965
400204,37.521657,-122.102892
400206,37.381356,-121.96211
400207,37.82774,-121.997739
400208,37.922084,-122.061731
400209,37.319961,-122.049031
400211,37.889123,-122.057695
400212,37.755539,-121.962311
400213,37.259192,-121.967128
400214,38.079686,-122.545663
400216,37.919642,-122.332292
400218,37.803542,-122.301498
400221,37.293614,-121.937899
400222,37.275395,-122.004702
400223,37.208606,-121.722043
400224,37.835531,-122.266013
400225,37.689656,-122.136588
400227,37.377237,-121.943586
400228,37.71769,-122.175415
400231,37.762469,-122.392743
400232,37.46898,-121.907492
400235,38.030242,-122.255308
400236,37.325105,-121.893262
400237,37.209941,-121.722999
400238,37.413256,-121.912324
400240,37.258184,-121.953853
400242,37.824311,-122.291457
400246,37.38562,-121.976214
400248,37.546915,-122.023163
400249,37.506892,-121.966671
400251,37.893156,-122.123812
400252,37.687544,-122.133225
400253,37.342957,-121.925721
400255,37.727662,-122.402599
400257,37.29173,-121.871969
400258,37.313568,-121.886074
400260,37.703072,-122.393983
400261,37.805061,-122.234851
400263,37.573665,-122.317153
400264,37.413855,-122.082578
400265,38.069896,-122.126516
400268,37.255651,-121.858078
400270,38.022121,-121.962176
400272,37.546868,-122.290231
400274,37.409909,-121.995942
400275,37.667821,-122.108348
400276,37.6271,-122.430565
400278,37.266561,-121.948692
400280,37.262054,-121.858503
400283,38.053731,-122.530648
400284,37.630267,-122.083308
400287,38.11639,-122.106098
400289,37.896274,-122.107979
400291,37.546976,-122.290032
400292,37.316378,-121.972052
400295,38.069862,-122.126383
400296,37.420359,-121.93915
400297,37.689523,-122.119266
400298,37.293047,-121.937861
400300,37.786178,-122.245519
400301,37.998129,-122.285223
400302,37.800558,-122.227577
400303,37.87465,-122.044591
400304,38.069309,-122.538884
400307,37.997771,-122.03856
