time,flow,lanes,observed_percent
1372687200000,4127,36,100
1372690800000,3581,36,100
1372694400000,2905,36,100
1372698000000,2653,36,100
1372701600000,2326,36,100
1372705200000,2283,36,100
1372708800000,2034,36,100
1372712400000,2868,36,100
1372716000000,3124,36,100
1372719600000,3116,36,100
1372723200000,2854,36,100
1372726800000,2474,36,100
1372730400000,2076,36,100
1372734000000,1549,36,100
1372737600000,1255,36,100
1372741200000,992,36,100
1372744800000,570,36,100
1372748400000,306,36,100
1372752000000,169,36,100
1372755600000,146,36,100
1372759200000,175,36,100
1372762800000,457,36,100
1372766400000,1411,36,100
1372770000000,3148,36,100
1372773600000,4174,36,100
1372777200000,3556,36,100
1372780800000,2515,36,100
1372784400000,2334,36,100
1372788000000,2296,36,100
1372791600000,2294,36,100
1372795200000,2380,36,100
1372798800000,3195,36,100
1372802400000,3083,36,100
1372806000000,3153,36,100
1372809600000,3285,36,100
1372813200000,2811,36,100
1372816800000,2519,36,100
1372820400000,1945,36,100
1372824000000,1572,36,100
1372827600000,1122,36,100
1372831200000,619,36,100
1372834800000,385,36,100
1372838400000,197,36,100
1372842000000,166,36,100
1372845600000,225,36,100
1372849200000,489,36,100
1372852800000,1299,36,100
1372856400000,3095,36,100
1372860000000,4128,36,100
1372863600000,3737,36,100
1372867200000,2915,36,25
1372870800000,2754,36,8
1372874400000,2485,36,100
1372878000000,2498,36,100
1372881600000,3137,36,100
1372885200000,3514,36,100
1372888800000,3157,36,100
1372892400000,3142,36,100
1372896000000,3299,36,100
1372899600000,3009,36,100
1372903200000,2749,36,100
1372906800000,2671,36,100
1372910400000,2734,36,100
1372914000000,2091,36,100
1372917600000,932,36,100
1372921200000,478,36,100
1372924800000,246,36,100
1372928400000,187,36,100
1372932000000,178,36,100
1372935600000,286,36,100
1372939200000,561,36,100
1372942800000,882,36,100
1372946400000,1023,36,100
1372950000000,1194,36,100
1372953600000,1386,36,100
1372957200000,1830,36,100
1372960800000,1998,36,100
1372964400000,2120,36,100
1372968000000,2149,36,100
1372971600000,2181,36,100
1372975200000,2129,36,100
1372978800000,2029,36,100
1372982400000,1878,36,100
1372986000000,1626,36,100
1372989600000,1525,36,100
1372993200000,1603,36,100
1372996800000,1265,36,100
1373000400000,962,36,100
1373004000000,804,36,100
1373007600000,481,36,100
1373011200000,240,36,100
1373014800000,203,36,100
1373018400000,209,36,100
1373022000000,364,36,100
1373025600000,874,36,100
1373029200000,1810,36,100
1373032800000,2835,36,100
1373036400000,2556,36,100
1373040000000,2170,36,100
1373043600000,2595,36,100
1373047200000,2363,36,100
1373050800000,2447,36,100
1373054400000,2369,36,100
1373058000000,2630,36,100
1373061600000,3093,36,100
1373065200000,3181,36,100
1373068800000,3054,36,100
1373072400000,2471,36,100
1373076000000,1660,36,100
1373079600000,1233,36,100
1373083200000,1127,36,100
1373086800000,1238,36,100
1373090400000,765,36,100
1373094000000,428,36,100
1373097600000,217,36,100
1373101200000,183,36,100
1373104800000,167,36,100
1373108400000,269,36,100
1373112000000,494,36,100
1373115600000,826,36,100
1373119200000,1154,36,100
1373122800000,1449,36,100
1373126400000,1934,36,100
1373130000000,2240,36,100
1373133600000,2878,36,100
1373137200000,2430,36,100
1373140800000,2569,36,100
1373144400000,2580,36,100
1373148000000,2323,36,100
1373151600000,2014,36,100
1373155200000,1954,36,100
1373158800000,1726,36,100
1373162400000,1441,36,100
1373166000000,1283,36,100
1373169600000,1148,36,100
1373173200000,1271,36,100
1373176800000,787,36,100
1373180400000,441,36,100
1373184000000,293,36,100
1373187600000,206,36,100
1373191200000,171,36,100
1373194800000,267,36,100
1373198400000,450,36,100
1373202000000,767,36,100
1373205600000,913,36,100
1373209200000,1250,36,100
1373212800000,1504,36,100
1373216400000,1963,36,100
1373220000000,2440,36,100
1373223600000,2203,36,100
1373227200000,1961,36,100
1373230800000,2063,36,100
1373234400000,1987,36,100
1373238000000,1828,36,100
1373241600000,1755,36,100
1373245200000,1574,36,100
1373248800000,1231,36,100
1373252400000,1054,36,100
1373256000000,1027,36,100
1373259600000,948,36,100
1373263200000,620,36,100
1373266800000,442,36,100
1373270400000,293,36,100
1373274000000,228,36,100
1373277600000,237,36,100
1373281200000,410,36,100
1373284800000,1031,36,100
1373288400000,2186,36,100
1373292000000,3885,36,100
1373295600000,3516,36,100
1373299200000,2831,36,100
1373302800000,2236,36,100
1373306400000,2040,36,100
1373310000000,1969,36,100
1373313600000,1862,36,100
1373317200000,2686,36,100
1373320800000,3481,36,100
1373324400000,3595,36,100
1373328000000,3488,36,100
1373331600000,3322,36,100
1373335200000,2175,36,100
1373338800000,1067,36,100
1373342400000,816,36,100
1373346000000,1027,36,67
1373349600000,638,36,100
1373353200000,426,36,100
1373356800000,364,36,100
1373360400000,232,36,100
1373364000000,202,36,100
1373367600000,376,36,100
1373371200000,1093,36,100
1373374800000,2104,36,100
1373378400000,3287,36,100
1373382000000,4018,36,100
1373385600000,3188,36,100
1373389200000,2679,36,100
1373392800000,2364,36,100
1373396400000,2159,36,100
1373400000000,2687,36,100
1373403600000,3035,36,100
1373407200000,3227,36,100
1373410800000,3145,36,100
1373414400000,3386,36,100
1373418000000,3337,36,100
1373421600000,2628,36,100
1373425200000,1631,36,100
1373428800000,1159,36,100
1373432400000,1111,36,100
1373436000000,643,36,100
1373439600000,446,36,100
1373443200000,307,36,100
1373446800000,219,36,100
1373450400000,231,36,100
1373454000000,371,36,100
1373457600000,873,36,100
1373461200000,2435,36,100
1373464800000,3832,36,100
1373468400000,3854,36,100
1373472000000,3057,36,100
1373475600000,2527,36,100
1373479200000,2513,36,100
1373482800000,2348,36,100
1373486400000,2304,36,100
1373490000000,3192,36,100
1373493600000,2808,36,100
1373497200000,2189,36,100
1373500800000,3158,36,100
1373504400000,3060,36,100
1373508000000,2570,36,100
1373511600000,1850,36,100
1373515200000,1208,36,100
1373518800000,1104,36,100
1373522400000,569,36,100
1373526000000,384,36,100
1373529600000,248,36,100
1373533200000,218,36,100
1373536800000,214,36,100
1373540400000,390,36,100
1373544000000,1100,36,100
1373547600000,2304,36,100
1373551200000,3943,36,100
1373554800000,3630,36,100
1373558400000,3548,36,100
1373562000000,2456,36,100
1373565600000,2521,36,100
1373569200000,2194,36,100
1373572800000,2370,36,100
1373576400000,3733,36,100
1373580000000,3646,36,100
1373583600000,3567,36,100
1373587200000,3455,36,100
1373590800000,3332,36,100
1373594400000,3137,36,100
1373598000000,2317,36,100
1373601600000,1357,36,100
1373605200000,1125,36,100
1373608800000,706,36,100
1373612400000,115,36,100
1373616000000,159,36,100
1373619600000,261,36,100
1373623200000,217,36,100
1373626800000,428,36,100
1373630400000,1142,36,100
1373634000000,2314,36,100
1373637600000,3568,36,100
1373641200000,3599,36,100
1373644800000,2954,36,100
1373648400000,2675,36,100
1373652000000,2526,36,100
1373655600000,2387,36,100
1373659200000,2654,36,83
1373662800000,3220,36,100
1373666400000,3214,36,100
1373670000000,3191,36,100
1373673600000,3170,36,100
1373677200000,2915,36,100
1373680800000,2811,36,100
