time,flow,lanes,observed_percent
1372687200000,2558,36,33
1372690800000,2653,36,33
1372694400000,2376,36,33
1372698000000,2107,36,33
1372701600000,2398,36,33
1372705200000,2788,36,33
1372708800000,2760,36,33
1372712400000,2756,36,33
1372716000000,2617,36,33
1372719600000,2752,36,33
1372723200000,2735,36,33
1372726800000,2545,36,33
1372730400000,2200,36,33
1372734000000,1818,36,33
1372737600000,1002,36,33
1372741200000,1002,36,33
1372744800000,739,36,33
1372748400000,580,36,33
1372752000000,518,36,33
1372755600000,478,36,33
1372759200000,528,36,33
1372762800000,804,36,33
1372766400000,1140,36,33
1372770000000,1951,36,33
1372773600000,2506,36,33
1372777200000,2451,36,33
1372780800000,2453,36,33
1372784400000,2116,36,33
1372788000000,2279,36,33
1372791600000,2772,36,33
1372795200000,2697,36,33
1372798800000,2565,36,33
1372802400000,420,36,33
1372806000000,420,36,33
1372809600000,420,36,33
1372813200000,420,36,33
1372816800000,420,36,33
1372820400000,420,36,33
1372824000000,420,36,33
1372827600000,420,36,33
1372831200000,420,36,33
1372834800000,0,36,100
1372838400000,0,36,100
1372842000000,0,36,100
1372845600000,0,36,100
1372849200000,0,36,100
1372852800000,672,36,100
1372856400000,2106,36,100
1372860000000,2902,36,100
1372863600000,3032,36,100
1372867200000,2837,36,25
1372870800000,2449,36,8
1372874400000,2091,36,100
1372878000000,2394,36,100
1372881600000,2411,36,100
1372885200000,2472,36,100
1372888800000,3770,36,100
1372892400000,3379,36,100
1372896000000,2390,36,100
1372899600000,2280,36,100
1372903200000,1602,36,100
1372906800000,1354,36,100
1372910400000,1042,36,100
1372914000000,734,36,100
1372917600000,601,36,100
1372921200000,1055,36,33
1372924800000,745,36,33
1372928400000,705,36,33
1372932000000,602,36,33
1372935600000,648,36,33
1372939200000,814,36,33
1372942800000,1085,36,33
1372946400000,1418,36,33
1372950000000,1569,36,33
1372953600000,1821,36,33
1372957200000,2119,36,33
1372960800000,2435,36,33
1372964400000,2515,36,33
1372968000000,2608,36,33
1372971600000,2635,36,33
1372975200000,2782,36,33
1372978800000,2786,36,33
1372982400000,2761,36,33
1372986000000,2575,36,33
1372989600000,2545,36,33
1372993200000,2252,36,33
1372996800000,1933,36,33
1373000400000,2533,36,33
1373004000000,2299,36,33
1373007600000,1281,36,33
1373011200000,776,36,33
1373014800000,695,36,33
1373018400000,598,36,33
1373022000000,677,36,33
1373025600000,769,36,33
1373029200000,1251,36,33
1373032800000,1851,36,33
1373036400000,1900,36,33
1373040000000,1939,36,33
1373043600000,2073,36,33
1373047200000,2326,36,33
1373050800000,2865,36,33
1373054400000,2899,36,33
1373058000000,2950,36,33
1373061600000,2915,36,33
1373065200000,2873,36,33
1373068800000,2981,36,33
1373072400000,3120,36,33
1373076000000,2735,36,33
1373079600000,2423,36,33
1373083200000,2136,36,33
1373086800000,2048,36,33
1373090400000,1561,36,33
1373094000000,1054,36,33
1373097600000,776,36,33
1373101200000,739,36,33
1373104800000,599,36,33
1373108400000,545,36,33
1373112000000,676,36,33
1373115600000,1042,36,33
1373119200000,1508,36,33
1373122800000,1726,36,33
1373126400000,2109,36,33
1373130000000,2503,36,33
1373133600000,2735,36,33
1373137200000,3045,36,33
1373140800000,3021,36,33
1373144400000,3083,36,33
1373148000000,3224,36,33
1373151600000,3179,36,33
1373155200000,2964,36,33
1373158800000,2910,36,33
1373162400000,2891,36,33
1373166000000,2474,36,33
1373169600000,2324,36,33
1373173200000,2186,36,33
1373176800000,1749,36,33
1373180400000,1019,36,67
1373184000000,770,36,67
1373187600000,677,36,67
1373191200000,571,36,67
1373194800000,539,36,67
1373198400000,601,36,67
1373202000000,743,36,67
1373205600000,988,36,67
1373209200000,1238,36,67
1373212800000,1694,36,67
1373216400000,2139,36,67
1373220000000,2657,36,67
1373223600000,2728,36,67
1373227200000,2545,36,67
