time,flow,lanes,observed_percent
1371304800000,564,.0283,60
1371308400000,564,.0283,60
1371312000000,3008,.066,60
1371315600000,6536,.1015,60
1371319200000,7053,.1103,60
1371322800000,7174,.114,60
1371326400000,7257,.1292,60
1371330000000,7576,.136,60
1371333600000,7612,.1872,60
1371337200000,7665,.1869,60
1371340800000,7487,.1911,60
1371344400000,7446,.186,60
1371348000000,7355,.1863,60
1371351600000,5666,.0889,60
1371355200000,5782,.0936,60
1371358800000,5785,.0955,60
1371362400000,4610,.0776,60
1371366000000,3267,.0766,60
1371369600000,2634,.0624,60
1371373200000,2736,.0737,60
1371376800000,1417,.0453,60
1371380400000,1175,.0377,60
1371384000000,1312,.0387,60
1371387600000,1784,.0428,60
1371391200000,2536,.0494,60
1371394800000,3364,.0581,60
1371398400000,3251,.0573,60
1371402000000,3495,.0674,60
1371405600000,4339,.0809,60
1371409200000,4344,.0834,60
1371412800000,5193,.1196,60
1371416400000,4879,.0915,60
1371420000000,4879,.0901,60
1371423600000,4811,.0881,60
1371427200000,4424,.0807,60
1371430800000,3931,.074,60
1371434400000,3644,.0699,60
1371438000000,3766,.0713,60
1371441600000,3625,.0699,60
1371445200000,3142,.0596,60
1371448800000,2997,.0553,60
1371452400000,1573,.0246,60
1371456000000,1113,.0183,60
1371459600000,780,.022,60
1371463200000,713,.0213,60
1371466800000,787,.019,60
1371470400000,1528,.0243,60
1371474000000,3054,.0512,60
1371477600000,4582,.0808,60
1371481200000,4332,.091,60
1371484800000,3783,.0802,60
1371488400000,3625,.0836,60
1371492000000,3693,.0756,60
1371495600000,3942,.0873,60
1371499200000,4061,.0876,60
1371502800000,6318,.1248,60
1371506400000,8502,.174,60
1371510000000,8317,.1659,60
1371513600000,8154,.1649,60
1371517200000,8229,.1638,60
1371520800000,6199,.1114,60
1371524400000,4636,.0787,60
1371528000000,4374,.076,60
1371531600000,4565,.0804,60
1371535200000,4326,.095,60
1371538800000,2674,.0602,60
1371542400000,2163,.0446,60
1371546000000,2569,.0879,60
1371549600000,2379,.0723,60
1371553200000,1971,.0439,60
1371556800000,1692,.0391,60
1371560400000,4029,.0682,60
1371564000000,6100,.0923,60
1371567600000,6284,.1142,60
1371571200000,5810,.0988,60
1371574800000,4846,.0849,60
1371578400000,3595,.0695,60
1371582000000,3943,.0751,60
1371585600000,4184,.0863,60
1371589200000,8049,.1937,60
1371592800000,8438,.1963,60
1371596400000,7590,.1504,60
1371600000000,8610,.1885,60
1371603600000,8403,.1583,60
1371607200000,7898,.1591,60
1371610800000,5469,.0842,60
1371614400000,6038,.0954,60
1371618000000,5521,.0876,60
1371621600000,5710,.1136,60
1371625200000,4382,.0802,60
1371628800000,2667,.0529,60
1371632400000,1472,.0364,60
1371636000000,1005,.0351,45
1371639600000,1339,.0376,60
1371643200000,1759,.0454,60
1371646800000,3466,.0688,60
1371650400000,6047,.094,60
1371654000000,6385,.1039,60
1371657600000,5516,.0932,60
1371661200000,5054,.0926,60
1371664800000,5212,.0909,60
1371668400000,5611,.0972,60
1371672000000,6068,.1069,60
1371675600000,7799,.1408,60
1371679200000,8496,.1511,60
1371682800000,8253,.1435,60
1371686400000,7080,.1704,60
1371690000000,7673,.2029,60
1371693600000,8183,.1435,60
1371697200000,7937,.1381,60
1371700800000,6478,.106,60
1371704400000,5489,.0882,60
1371708000000,3725,.0667,60
1371711600000,2735,.0536,60
1371715200000,1877,.0453,60
1371718800000,1357,.04,60
1371722400000,977,.0376,60
1371726000000,1024,.0374,60
1371733200000,3551,.0676,55
1371736800000,5808,.094,60
1371740400000,6266,.1106,60
1371744000000,5566,.098,60
1371747600000,5571,.1032,60
1371751200000,5566,.102,60
1371754800000,5879,.1367,60
1371758400000,5753,.1271,60
1371762000000,8089,.2015,60
1371765600000,8329,.203,60
1371769200000,8468,.1882,60
1371772800000,7621,.2145,60
1371776400000,8312,.1853,60
1371780000000,7559,.1746,60
1371783600000,6252,.1514,60
1371787200000,6824,.1097,60
1371790800000,6815,.1151,60
1371794400000,5150,.1013,60
1371798000000,4767,.1122,60
1371801600000,4619,.1361,60
1371805200000,2786,.0785,60
1371808800000,2909,.0828,60
1371812400000,2329,.0652,60
1371816000000,2318,.0491,60
1371819600000,3398,.0621,60
1371823200000,5534,.0918,60
1371826800000,5724,.1006,60
1371830400000,5453,.0996,60
1371834000000,5697,.1304,60
1371837600000,5708,.1779,60
1371841200000,7133,.1869,60
1371844800000,6872,.1475,60
1371848400000,7745,.1911,60
1371852000000,8239,.194,60
1371855600000,7594,.186,60
1371859200000,8206,.1412,60
1371862800000,7934,.153,60
1371866400000,6953,.171,60
1371870000000,6799,.1319,60
1371873600000,6260,.1234,60
1371877200000,6697,.1066,60
1371880800000,6261,.1191,60
1371884400000,4161,.0695,60
1371888000000,3063,.056,60
1371891600000,2670,.057,60
1371895200000,1448,.0409,60
1371898800000,1146,.0377,60
1371902400000,1358,.0401,60
1371906000000,2196,.0468,60
1371909600000,3422,.0604,60
1371913200000,4479,.0735,60
1371916800000,5307,.0852,60
1371920400000,6223,.0979,60
1371924000000,6362,.0987,60
1371927600000,6713,.111,60
1371931200000,6783,.1099,60
1371934800000,7039,.1166,60
1371938400000,7213,.1294,60
1371942000000,7494,.1677,60
1371945600000,7376,.1794,60
1371949200000,7384,.1736,60
1371952800000,5836,.1642,60
1371956400000,6337,.1232,60
1371960000000,5850,.0949,60
1371963600000,6248,.1016,60
1371967200000,5420,.0861,60
1371970800000,3821,.0653,60
1371974400000,2813,.0534,60
1371978000000,2979,.0553,60
1371981600000,1617,.0419,60
1371985200000,1119,.0371,60
1371988800000,1170,.0376,60
1371992400000,1713,.0421,60
1371996000000,2571,.0503,60
1371999600000,3340,.0594,60
1372003200000,4243,.0691,60
1372006800000,5302,.0831,60
1372010400000,5991,.0951,60
1372014000000,6436,.1001,60
1372017600000,6595,.1014,60
1372021200000,6646,.1046,60
1372024800000,7391,.1205,60
1372028400000,7285,.181,60
1372032000000,7149,.1885,60
1372035600000,7157,.1852,60
1372039200000,6613,.1532,60
1372042800000,5311,.0853,60
1372046400000,4980,.0823,60
1372050000000,4315,.0713,60
1372053600000,3296,.0589,60
1372057200000,2171,.0475,60
1372060800000,1590,.0416,60
1372064400000,1308,.0389,60
1372068000000,857,.0354,60
1372071600000,1015,.0366,60
1372075200000,1782,.0452,60
1372078800000,3597,.0633,60
1372082400000,5312,.0862,60
1372086000000,6240,.1128,60
1372089600000,5676,.1292,60
1372093200000,5171,.1045,60
1372096800000,5161,.0944,60
1372100400000,5697,.1012,60
1372104000000,5945,.1107,60
1372107600000,7108,.1962,60
1372111200000,7583,.1858,60
1372114800000,7708,.1806,60
1372118400000,7917,.1877,60
1372122000000,7499,.1247,60
1372125600000,7039,.1198,60
1372129200000,5067,.0812,60
1372132800000,4478,.0741,60
1372136400000,3973,.0672,60
1372140000000,2893,.0557,60
1372143600000,2063,.0469,60
1372147200000,1690,.0438,60
1372150800000,1428,.0408,60
1372154400000,954,.0375,60
1372158000000,1090,.0377,60
1372161600000,1684,.0446,60
1372165200000,3465,.0639,60
1372168800000,5703,.0931,60
1372172400000,6079,.1004,60
1372176000000,5185,.0896,60
1372179600000,4798,.0876,60
1372183200000,4898,.0863,60
1372186800000,5587,.0956,60
1372190400000,6447,.1102,60
1372194000000,7873,.1541,60
1372197600000,7906,.1576,60
1372201200000,8005,.1901,60
1372204800000,7898,.2012,60
1372208400000,7770,.1551,60
1372212000000,6964,.1476,60
1372215600000,5611,.0871,60
1372219200000,5382,.0854,60
1372222800000,4537,.0745,60
1372226400000,4455,.0963,60
1372230000000,2678,.0537,60
1372233600000,1493,.0426,60
1372237200000,1491,.0384,60
1372240800000,1130,.0345,60
1372244400000,1062,.0342,60
1372248000000,1487,.0425,60
1372251600000,3576,.0645,60
1372255200000,5844,.0891,60
1372258800000,5694,.1192,60
1372262400000,5566,.1471,60
1372266000000,5343,.1391,60
1372269600000,5438,.1474,60
1372273200000,5836,.1762,60
1372276800000,6330,.1615,60
1372280400000,7913,.2017,60
1372284000000,8039,.1832,60
1372287600000,7301,.1881,60
1372291200000,8360,.1483,60
1372294800000,7870,.144,60
1372298400000,7762,.1513,60
1372302000000,6190,.1008,60
1372305600000,6093,.1009,60
1372309200000,5487,.0876,60
1372312800000,4328,.072,60
1372316400000,2891,.0555,60
1372320000000,2136,.0479,60
1372323600000,1638,.0425,60
1372327200000,1047,.038,60
1372330800000,1117,.0384,60
1372334400000,1806,.0459,60
1372338000000,3381,.062,60
1372341600000,5511,.0906,60
1372345200000,6201,.1615,60
1372348800000,5841,.1455,60
1372352400000,5084,.0917,60
1372356000000,5576,.1064,60
1372359600000,5830,.1002,60
1372363200000,6078,.1267,60
1372366800000,7588,.1867,60
1372370400000,4401,.0857,60
1372374000000,5287,.0955,60
1372377600000,5447,.1118,60
1372381200000,5043,.0902,60
1372384800000,4825,.0919,60
1372388400000,4629,.0877,60
1372392000000,3873,.0738,60
1372395600000,3656,.0695,60
1372399200000,2598,.0644,60
1372402800000,2695,.0605,60
1372406400000,2690,.0744,60
1372410000000,2273,.0472,60
1372413600000,1454,.0338,60
1372417200000,1318,.0334,60
1372420800000,1881,.0439,60
1372424400000,3573,.0624,60
1372428000000,5384,.0855,60
1372431600000,5861,.0991,60
1372435200000,5458,.0931,60
1372438800000,5566,.099,60
1372442400000,5850,.1085,60
1372446000000,7022,.1286,60
1372449600000,7343,.1523,60
1372453200000,7600,.1776,60
1372456800000,7696,.1801,60
1372460400000,7842,.178,60
1372464000000,7724,.1732,60
1372467600000,7541,.1486,60
1372471200000,6528,.1115,60
1372474800000,6185,.0965,60
1372478400000,5760,.0927,60
1372482000000,5912,.1018,60
1372485600000,5005,.0871,60
1372489200000,4016,.068,60
1372492800000,3134,.0574,60
1372496400000,3197,.0602,60
1372500000000,2328,.0465,60
1372503600000,1637,.0367,60
1372507200000,1800,.0386,60
1372510800000,2680,.0536,60
1372514400000,3668,.0657,60
1372518000000,4144,.0697,60
1372521600000,5044,.0794,60
1372525200000,5818,.0943,60
1372528800000,6121,.097,60
1372532400000,6177,.0989,60
1372536000000,5945,.096,60
1372539600000,6303,.1021,60
1372543200000,6546,.1068,60
1372546800000,6366,.1045,60
1372550400000,6732,.1109,60
1372554000000,5893,.098,60
1372557600000,5592,.0937,60
1372561200000,5720,.091,60
1372564800000,5470,.0892,60
1372568400000,5716,.0957,60
1372572000000,5168,.0824,60
1372575600000,4318,.0713,60
1372579200000,3309,.0593,60
1372582800000,3589,.13,60
1372586400000,2171,.0496,60
1372590000000,1461,.0363,60
1372593600000,1480,.037,60
1372597200000,1923,.042,60
1372600800000,2630,.0497,60
1372604400000,3023,.0545,60
1372608000000,3456,.0585,60
1372611600000,4313,.0686,60
1372615200000,4741,.0719,60
1372618800000,4972,.0772,60
1372622400000,5214,.0795,60
1372626000000,5302,.083,60
1372629600000,5312,.0813,60
1372633200000,5722,.0948,60
1372636800000,564,.0283,60
1372640400000,564,.0283,60
1372644000000,1010,.0345,60
1372647600000,6309,.0995,60
1372651200000,5909,.0942,60
1372654800000,5053,.0816,60
1372658400000,3800,.0648,60
1372662000000,2487,.051,60
1372665600000,1685,.0426,60
1372669200000,1225,.0392,60
1372672800000,974,.0369,60
1372676400000,1219,.039,60
1372680000000,2335,.0507,60
1372683600000,4414,.0728,60
1372687200000,6344,.1001,60
1372690800000,6279,.1017,60
1372694400000,5248,.0864,60
1372698000000,5420,.0915,60
1372701600000,5616,.0943,60
1372705200000,6322,.1044,60
1372708800000,7302,.1253,60
1372712400000,7781,.1566,60
1372716000000,6223,.1297,60
1372719600000,8184,.1912,60
1372723200000,8253,.1898,60
1372726800000,8014,.1873,60
1372730400000,7983,.1836,60
1372734000000,7290,.1599,60
1372737600000,6348,.1019,60
1372741200000,4696,.0776,60
1372744800000,3303,.0832,60
1372748400000,1850,.0447,60
1372752000000,1266,.0359,60
1372755600000,1224,.0342,60
1372759200000,840,.0343,60
1372762800000,1163,.0391,60
1372766400000,2256,.05,60
1372770000000,4475,.0737,60
1372773600000,6544,.1014,60
1372777200000,6429,.1014,60
