time,flow,lanes,observed_percent
1371304800000,0,0,60
1371308400000,0,0,60
1371312000000,2586,.0303,60
1371315600000,6402,.0745,60
1371319200000,7390,.088,60
1371322800000,7560,.091,60
1371326400000,7687,.1005,60
1371330000000,7740,.1138,60
1371333600000,7500,.2601,60
1371337200000,7470,.2696,60
1371340800000,7338,.2885,60
1371344400000,7334,.2773,60
1371348000000,7080,.2551,60
1371351600000,5622,.0662,60
1371355200000,6048,.0764,60
1371358800000,6341,.0798,60
1371362400000,5247,.0616,60
1371366000000,3930,.0681,60
1371369600000,3039,.041,60
1371373200000,3066,.0426,60
1371376800000,1504,.0194,60
1371380400000,1022,.011,60
1371384000000,719,.0079,60
1371387600000,1688,.0172,60
1371391200000,2571,.0261,60
1371394800000,3329,.0355,60
1371398400000,4690,.0507,60
1371402000000,6141,.0689,60
1371405600000,6892,.0813,60
1371409200000,6594,.0808,60
1371412800000,7073,.2497,60
1371416400000,7466,.1202,60
1371420000000,7637,.0977,60
1371423600000,7396,.0955,60
1371427200000,7286,.0897,60
1371430800000,5858,.0696,60
1371434400000,5558,.0641,60
1371438000000,6031,.0733,60
1371441600000,5742,.072,60
1371445200000,4882,.0601,60
1371448800000,3456,.0395,60
1371452400000,2090,.0234,60
1371456000000,1253,.0138,60
1371459600000,844,.0093,60
1371463200000,570,.0073,60
1371466800000,776,.0093,60
1371470400000,1479,.018,60
1371474000000,3585,.0409,60
1371477600000,5727,.0673,60
1371481200000,6343,.0849,60
1371484800000,5474,.0719,60
1371488400000,5453,.0746,60
1371492000000,5420,.0728,60
1371495600000,5970,.0845,60
1371499200000,5822,.084,60
1371502800000,6948,.1066,60
1371506400000,8577,.1201,60
1371510000000,8590,.1215,60
1371513600000,6925,.1001,60
1371517200000,8399,.1278,60
1371520800000,6617,.0804,60
1371524400000,5332,.0621,60
1371528000000,5268,.065,60
1371531600000,5218,.0627,60
1371535200000,4025,.0908,60
1371538800000,2922,.0523,60
1371542400000,1610,.0252,60
1371546000000,1065,.0631,60
1371549600000,827,.0356,60
1371553200000,790,.0126,60
1371556800000,1696,.0215,60
1371560400000,4102,.047,60
1371564000000,6064,.0713,60
1371567600000,6636,.0954,60
1371571200000,5799,.0783,60
1371574800000,4713,.0637,60
1371578400000,3457,.0468,60
1371582000000,3897,.0546,60
1371585600000,4198,.0716,60
1371589200000,8103,.2752,60
1371592800000,8433,.2615,60
1371596400000,7592,.172,60
1371600000000,8142,.2113,60
1371603600000,8234,.125,60
1371607200000,5780,.1046,60
1371610800000,5610,.0666,60
1371614400000,5681,.0704,60
1371618000000,5063,.0618,60
1371621600000,4336,.0691,60
1371625200000,3128,.0484,60
1371628800000,1513,.0226,60
1371632400000,1094,.0292,60
1371636000000,466,.0088,45
1371639600000,655,.0087,60
1371643200000,1518,.0179,60
1371646800000,3661,.0444,60
1371650400000,5702,.07,60
1371654000000,6301,.0849,60
1371657600000,5336,.073,60
1371661200000,5193,.076,60
1371664800000,4918,.0685,60
1371668400000,6064,.087,60
1371672000000,6144,.0924,60
1371675600000,8142,.1147,60
1371679200000,8637,.1214,60
1371682800000,8542,.1231,60
1371686400000,7518,.1531,60
1371690000000,7588,.2241,60
1371693600000,8495,.1167,60
1371697200000,8267,.1205,60
1371700800000,6828,.0917,60
1371704400000,5755,.0698,60
1371708000000,3854,.0453,60
1371711600000,2807,.0318,60
1371715200000,1832,.0215,60
1371718800000,1298,.0151,60
1371722400000,833,.011,60
1371726000000,904,.0115,60
1371733200000,3610,.0451,55
1371736800000,5925,.0711,60
1371740400000,6728,.0937,60
1371744000000,5771,.0817,60
1371747600000,5845,.0823,60
1371751200000,5758,.08,60
1371754800000,6035,.145,60
1371758400000,5805,.1236,60
1371762000000,8080,.2671,60
1371765600000,8192,.2582,60
1371769200000,8042,.2137,60
1371772800000,7495,.2455,60
1371776400000,7912,.2106,60
1371780000000,7207,.2245,60
1371783600000,5945,.1743,60
1371787200000,6530,.0846,60
1371790800000,6933,.0976,60
1371794400000,4174,.0927,60
1371798000000,2757,.0699,60
1371801600000,2492,.1089,60
1371805200000,1196,.1918,60
1371808800000,1159,.2091,60
1371812400000,903,.0167,60
1371816000000,1802,.0242,60
1371819600000,3729,.0429,60
1371823200000,5698,.0694,60
1371826800000,5863,.0808,60
1371830400000,5475,.0766,60
1371834000000,5708,.1298,60
1371837600000,5335,.2204,60
1371841200000,7246,.2525,60
1371844800000,7050,.1649,60
1371848400000,7790,.2628,60
1371852000000,7569,.2403,60
1371855600000,7332,.1948,60
1371859200000,7850,.1088,60
1371862800000,7838,.126,60
1371866400000,6543,.2216,60
1371870000000,6382,.1294,60
1371873600000,5977,.1545,60
1371877200000,6735,.0875,60
1371880800000,5879,.1036,60
1371884400000,3770,.044,60
1371888000000,2579,.0292,60
1371891600000,2410,.0286,60
1371895200000,1378,.0159,60
1371898800000,954,.0111,60
1371902400000,1238,.0138,60
1371906000000,2182,.0228,60
1371909600000,3579,.0392,60
1371913200000,4735,.0538,60
1371916800000,5695,.0659,60
1371920400000,6603,.0789,60
1371924000000,6707,.0799,60
1371927600000,6765,.0857,60
1371931200000,6709,.0835,60
1371934800000,7099,.0906,60
1371938400000,7420,.0989,60
1371942000000,7372,.1886,60
1371945600000,6892,.238,60
1371949200000,6833,.2275,60
1371952800000,5841,.2638,60
1371956400000,6382,.1253,60
1371960000000,5667,.0736,60
1371963600000,5887,.0768,60
1371967200000,5433,.0655,60
1371970800000,3903,.045,60
