time,flow,lanes,observed_percent
1371304800000,3850,.0593,60
1371308400000,4369,.0649,60
1371312000000,5352,.0704,60
1371315600000,6488,.0823,60
1371319200000,7070,.0872,60
1371322800000,7342,.0907,60
1371326400000,7050,.0903,60
1371330000000,7118,.0928,60
1371333600000,6746,.1573,60
1371337200000,6345,.1781,60
1371340800000,6786,.1965,60
1371344400000,6385,.1765,60
1371348000000,6124,.1483,60
1371351600000,5474,.0726,60
1371355200000,3723,.055,60
1371358800000,900,.0242,60
1371362400000,900,.0242,60
1371366000000,900,.0242,60
1371369600000,900,.0242,60
1371373200000,2749,.0455,60
1371376800000,1873,.0378,60
1371380400000,1155,.034,60
1371384000000,1262,.0349,60
1371387600000,1904,.0398,60
1371391200000,2731,.0457,60
1371394800000,3423,.0522,60
1371398400000,4658,.0627,60
1371402000000,6196,.0769,60
1371405600000,6883,.0855,60
1371409200000,6425,.0829,60
1371412800000,6180,.1294,60
1371416400000,7014,.0907,60
1371420000000,6866,.0902,60
1371423600000,6907,.0909,60
1371427200000,6760,.0868,60
1371430800000,5713,.0759,60
1371434400000,5576,.0726,60
1371438000000,5829,.0774,60
1371441600000,5231,.0732,60
1371445200000,3852,.0591,60
1371448800000,900,.0242,60
1371452400000,900,.0242,60
1371456000000,900,.0242,60
1371459600000,900,.0242,60
1371463200000,787,.0269,60
1371466800000,818,.0326,60
1371470400000,1610,.0391,60
1371474000000,3292,.0533,60
1371477600000,3717,.0541,60
1371481200000,4524,.0673,60
1371484800000,5583,.0792,60
1371488400000,5616,.0815,60
1371492000000,5766,.0816,60
1371495600000,6013,.0879,60
1371499200000,6258,.0945,60
1371502800000,6228,.0922,60
1371506400000,7735,.1071,60
1371510000000,7718,.1084,60
1371513600000,7666,.1088,60
1371517200000,7424,.1088,60
1371520800000,6305,.0822,60
1371524400000,5029,.069,60
1371528000000,5209,.0725,60
1371531600000,5124,.0712,60
1371535200000,4526,.086,60
1371538800000,4696,.1011,60
1371542400000,2393,.0467,60
1371546000000,1725,.0803,60
1371549600000,1071,.0364,60
1371553200000,1099,.0347,60
1371556800000,2053,.0425,60
1371560400000,3964,.0607,60
1371564000000,6039,.0784,60
1371567600000,7338,.1016,60
1371571200000,6597,.0923,60
1371574800000,5654,.0828,60
1371578400000,3898,.0643,60
1371582000000,4670,.074,60
1371585600000,4438,.0905,60
1371589200000,7524,.167,60
1371592800000,7685,.1702,60
1371596400000,7139,.1234,60
1371600000000,7347,.1308,60
1371603600000,7432,.1074,60
1371607200000,7135,.1016,60
1371610800000,5257,.0715,60
1371614400000,5419,.0747,60
1371618000000,5054,.0716,60
1371621600000,5002,.0905,60
1371625200000,4584,.1195,60
1371628800000,2049,.0543,60
1371632400000,1399,.0896,60
1371636000000,743,.0322,45
1371639600000,849,.0312,60
1371643200000,1487,.0383,60
1371646800000,3234,.0529,60
1371650400000,5821,.0776,60
1371654000000,6222,.0878,60
1371657600000,5511,.08,60
1371661200000,5517,.0842,60
1371664800000,5254,.0773,60
1371668400000,6155,.0882,60
1371672000000,6240,.0948,60
1371675600000,7006,.102,60
1371679200000,6313,.091,60
1371682800000,900,.0242,60
1371686400000,900,.0242,60
1371690000000,900,.0242,60
1371693600000,900,.0242,60
1371697200000,900,.0242,60
1371700800000,900,.0242,60
1371704400000,900,.0242,60
1371708000000,900,.0242,60
1371711600000,960,.0258,60
1371715200000,960,.0258,60
1371718800000,960,.0258,60
1371722400000,960,.0258,60
1371726000000,960,.0258,60
1371733200000,3588,.0582,55
1371736800000,6009,.0785,60
1371740400000,7494,.1026,60
1371744000000,6931,.0964,60
1371747600000,6400,.0925,60
1371751200000,6954,.0951,60
1371754800000,6305,.1233,60
1371758400000,6498,.1423,60
1371762000000,7382,.1815,60
1371765600000,7124,.1575,60
1371769200000,6951,.1203,60
1371772800000,6531,.1674,60
1371776400000,6737,.1239,60
1371780000000,6112,.1409,60
1371783600000,5208,.1028,60
1371787200000,6080,.083,60
1371790800000,6179,.0911,60
1371794400000,4473,.1218,60
1371798000000,2923,.1714,60
1371801600000,2459,.1743,60
1371805200000,1241,.1853,60
1371808800000,947,.1796,60
1371812400000,912,.0327,60
1371816000000,1728,.0407,60
1371819600000,3334,.0547,60
1371823200000,5615,.0766,60
1371826800000,6433,.0884,60
1371830400000,5781,.0841,60
1371834000000,6078,.0989,60
1371837600000,5589,.1572,60
1371841200000,5732,.1595,60
1371844800000,6228,.121,60
1371848400000,6373,.1521,60
1371852000000,6592,.1514,60
1371855600000,6109,.1303,60
1371859200000,6492,.0928,60
1371862800000,6440,.0953,60
1371866400000,6049,.1438,60
1371870000000,5394,.0849,60
1371873600000,4799,.1158,60
1371877200000,5160,.0743,60
1371880800000,5045,.0846,60
1371884400000,3396,.0563,60
1371888000000,2575,.047,60
1371891600000,2510,.047,60
1371895200000,1308,.0362,60
1371898800000,1031,.0334,60
1371902400000,1318,.0365,60
1371906000000,1890,.0398,60
1371909600000,3404,.0531,60
1371913200000,4283,.0614,60
1371916800000,5209,.0708,60
1371920400000,5988,.0789,60
1371924000000,6396,.0824,60
1371927600000,6172,.0828,60
1371931200000,6207,.0835,60
1371934800000,6331,.0847,60
1371938400000,6654,.0896,60
1371942000000,6259,.1205,60
1371945600000,5930,.1565,60
1371949200000,6033,.155,60
1371952800000,4919,.1647,60
1371956400000,5260,.1101,60
1371960000000,5195,.074,60
1371963600000,5646,.0793,60
1371967200000,4776,.068,60
1371970800000,3379,.0539,60
1371974400000,2368,.0446,60
1371978000000,2735,.0478,60
1371981600000,1358,.0363,60
1371985200000,963,.0325,60
1371988800000,1073,.0338,60
1371992400000,1666,.0382,60
1371996000000,2454,.0442,60
1371999600000,3112,.0509,60
1372003200000,4098,.059,60
1372006800000,4834,.0664,60
1372010400000,5541,.0731,60
1372014000000,5878,.0766,60
1372017600000,5571,.0735,60
1372021200000,5949,.0772,60
1372024800000,6644,.0848,60
1372028400000,6362,.1569,60
1372032000000,5532,.1692,60
1372035600000,5883,.1675,60
1372039200000,5477,.1175,60
1372042800000,5161,.0704,60
1372046400000,4086,.0637,60
1372050000000,4219,.0616,60
1372053600000,2999,.0501,60
1372057200000,900,.0242,60
1372060800000,900,.0242,60
1372064400000,900,.0242,60
1372068000000,900,.0242,60
1372071600000,916,.0258,60
1372075200000,1618,.0391,60
1372078800000,3603,.0556,60
1372082400000,5230,.0735,60
