YEAR,AZ-Phoenix,CA-Los Angeles,CA-San Diego,CA-San Francisco,CO-Denver,DC-Washington,FL-Miami,FL-Tampa,GA-Atlanta,IL-Chicago,MA-Boston,MI-Detroit,MN-Minneapolis,NC-Charlotte,NV-Las Vegas,NY-New York,OH-Cleveland,OR-Portland,TX-Dallas,WA-Seattle,Composite-10,Composite-20
Jan-00,100.41,101.03,101.1,101.45,100.66,100.87,99.94,100.08,100.37,100.56,100.92,100.15,100.19,100.66,100.4,100.34,100.53,100.59,100.71,101.08,100.75,100.59
Feb-00,100.94,102.04,102.41,104.17,101.65,101.7,100.47,100.79,101.28,101.41,101.89,100.87,100.97,101.1,100.9,101.24,100.51,101.25,103.04,101.66,101.89,101.69
Mar-00,101.72,103.22,104.09,107.34,102.73,102.89,101.09,101.45,101.77,102.43,102.65,101.37,101.63,101.14,101.44,102.06,101.17,101.56,102.71,102.94,103.15,102.78
Apr-00,102.27,104.16,105.71,110.63,103.54,103.95,102.01,102.31,102.69,103.41,104.35,101.76,102.97,102.27,101.59,103.13,101.74,102.18,103.28,103.48,104.53,104
May-00,102.99,104.92,107.13,113.8,105.3,104.92,102.75,103.39,103.26,104.39,106.01,102.58,104.41,102.24,102.05,104.92,102.16,102.08,103.72,104.22,106.01,105.25
Jun-00,103.7,105.69,108.97,116.82,106.91,105.72,103.4,104.23,104.13,105.51,107.93,103.28,105.61,102.69,102.28,106.06,102.04,102.19,103.62,104.43,107.34,106.4
Jul-00,104.08,106.32,110.32,117.86,108.3,106.71,103.69,105.03,104.31,106.03,108.92,103.99,106.39,102.25,102.67,107.02,101.93,102.4,104.05,104.94,108.17,107.13
Aug-00,104.5,106.97,111.67,119.05,109.3,107.79,104.36,105.41,104.69,106.42,110.13,104.23,107.36,102.53,103.22,108.02,102.19,102.65,104.36,105.22,109.07,107.86
Sep-00,104.97,107.89,112.66,120.41,110.55,108.99,105.11,105.91,104.77,106.71,111.37,104.65,108.47,102.52,103.89,108.83,102.52,102.81,105.08,105.63,110.03,108.61
Oct-00,105.33,108.81,113.47,123.25,111.73,109.87,106.09,106.51,105.41,106.98,112.97,105.06,109.63,102.86,104.68,109.79,103.2,103.03,105.51,105.82,111.17,109.49
Nov-00,105.8,109.98,115.25,126.44,113.1,111.09,107.42,108.19,106.03,107.47,114.77,106.1,111.16,103.18,105.04,110.64,103.56,103.34,106.28,106.4,112.5,110.57
Dec-00,106.01,110.72,116.96,130.06,114.54,112.4,108.66,109.81,106.56,108.15,116.95,106.68,111.73,103,105.52,111.84,104.22,104.11,106.57,107.29,113.93,111.8
Jan-01,106.4,112.03,118.9,133.04,115.51,113.79,110.24,110.9,107.06,108.92,118.84,107.33,113.35,103.54,105.77,112.94,104.54,104.6,107.24,107.77,115.43,113.05
Feb-01,106.88,112.9,120.14,135.07,116.88,115.39,111.07,111.71,107.42,109.52,120.41,107.5,114.5,103.87,106.17,114.25,104.85,104.85,108.37,107.91,116.69,114.13
Mar-01,107.46,114.18,122.32,134.94,117.24,116.84,112.27,112.41,107.93,110.36,121.56,108.04,116.39,104,106.99,115.31,104.97,105.1,109.08,108.14,117.72,115.09
Apr-01,108.08,114.64,123.36,133.86,118.52,118.63,113.53,113.45,108.33,111.29,122.74,108.39,117.27,103.87,107.95,116.36,104.78,105.42,109.9,109.03,118.5,115.84
May-01,108.7,115.26,124.28,132.66,119.25,119.26,114.77,113.77,108.63,112.09,123.18,108.85,118.28,104.22,108.74,116.98,105.25,105.96,110.06,109.24,118.95,116.3
Jun-01,109.02,115.74,124.52,130.83,119.97,120.25,115.9,115.2,109.3,113.22,124.44,109.14,119.68,104.32,109.51,118.07,105.68,106.59,110.48,109.74,119.5,116.9
Jul-01,109.51,116.38,125.29,129.28,120.39,121.08,117.13,116.16,109.67,114.21,125.6,109.66,121.26,104.83,110.3,119.22,106.47,107.34,110.42,109.99,120.1,117.5
Aug-01,109.86,117.36,125.87,128.33,120.96,122.09,118.29,117.85,110.18,115.25,126.94,110.41,122.12,104.63,110.97,120.59,106.98,108.02,110.63,110.55,120.95,118.25
Sep-01,110.28,118.34,126.98,128.18,121.51,123.1,119.52,118.12,110.66,116.09,128.15,110.85,123.2,104.73,111.7,121.98,107.27,108.34,110.52,111.21,121.95,119.03
